Date,site_id,par,full_name,unit,value_min,value_max,value_mean
1/1/15,Storelva,rr,Dognnedbor v2.0,mm,0,0.1,0
1/2/15,Storelva,rr,Dognnedbor v2.0,mm,0,4.8,1.3
1/3/15,Storelva,rr,Dognnedbor v2.0,mm,0,5.2,2.1
1/4/15,Storelva,rr,Dognnedbor v2.0,mm,0,5.1,0.4
1/5/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
1/6/15,Storelva,rr,Dognnedbor v2.0,mm,1.1,3.7,1.8
1/7/15,Storelva,rr,Dognnedbor v2.0,mm,14.6,17.8,16
1/8/15,Storelva,rr,Dognnedbor v2.0,mm,4.2,7.4,6
1/9/15,Storelva,rr,Dognnedbor v2.0,mm,0,3.2,0.6
1/10/15,Storelva,rr,Dognnedbor v2.0,mm,9.5,15.3,12.2
1/11/15,Storelva,rr,Dognnedbor v2.0,mm,2.8,11.1,6.5
1/12/15,Storelva,rr,Dognnedbor v2.0,mm,0.5,1.1,0.8
1/13/15,Storelva,rr,Dognnedbor v2.0,mm,0,1.6,0.6
1/14/15,Storelva,rr,Dognnedbor v2.0,mm,1.6,6.6,3.8
1/15/15,Storelva,rr,Dognnedbor v2.0,mm,2.4,17.4,8.7
1/16/15,Storelva,rr,Dognnedbor v2.0,mm,32.8,45,39.8
1/17/15,Storelva,rr,Dognnedbor v2.0,mm,0,13.8,2.4
1/18/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
1/19/15,Storelva,rr,Dognnedbor v2.0,mm,0.1,1.2,0.4
1/20/15,Storelva,rr,Dognnedbor v2.0,mm,3.9,10.1,6.4
1/21/15,Storelva,rr,Dognnedbor v2.0,mm,24.4,52.4,39.4
1/22/15,Storelva,rr,Dognnedbor v2.0,mm,0.1,3.5,1.4
1/23/15,Storelva,rr,Dognnedbor v2.0,mm,0,0.3,0
1/24/15,Storelva,rr,Dognnedbor v2.0,mm,5.4,8.8,6.8
1/25/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
1/26/15,Storelva,rr,Dognnedbor v2.0,mm,0,2.7,1.3
1/27/15,Storelva,rr,Dognnedbor v2.0,mm,0,8.6,1.9
1/28/15,Storelva,rr,Dognnedbor v2.0,mm,0,17.5,2.8
1/29/15,Storelva,rr,Dognnedbor v2.0,mm,8.6,10.5,9.7
1/30/15,Storelva,rr,Dognnedbor v2.0,mm,1.7,9.6,5.5
1/31/15,Storelva,rr,Dognnedbor v2.0,mm,0.1,9,4.6
2/1/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/2/15,Storelva,rr,Dognnedbor v2.0,mm,0,3.5,0.3
2/3/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/4/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/5/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/6/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/7/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/8/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/9/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/10/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/11/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/12/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/13/15,Storelva,rr,Dognnedbor v2.0,mm,0.5,2.7,1.1
2/14/15,Storelva,rr,Dognnedbor v2.0,mm,1.4,4.9,3.5
2/15/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/16/15,Storelva,rr,Dognnedbor v2.0,mm,1.9,4.2,3.1
2/17/15,Storelva,rr,Dognnedbor v2.0,mm,2.9,7.8,5.3
2/18/15,Storelva,rr,Dognnedbor v2.0,mm,0,13.2,6.2
2/19/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/20/15,Storelva,rr,Dognnedbor v2.0,mm,0,6.5,2.7
2/21/15,Storelva,rr,Dognnedbor v2.0,mm,0,2.7,0.8
2/22/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/23/15,Storelva,rr,Dognnedbor v2.0,mm,14.6,25.6,21.4
2/24/15,Storelva,rr,Dognnedbor v2.0,mm,6.9,14.2,10
2/25/15,Storelva,rr,Dognnedbor v2.0,mm,7.3,13,10.7
2/26/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
2/27/15,Storelva,rr,Dognnedbor v2.0,mm,15.1,22.2,19.9
2/28/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/1/15,Storelva,rr,Dognnedbor v2.0,mm,18.7,30.7,23.9
3/2/15,Storelva,rr,Dognnedbor v2.0,mm,0.3,4.4,3.2
3/3/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/4/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/5/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/6/15,Storelva,rr,Dognnedbor v2.0,mm,0,0.3,0.1
3/7/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/8/15,Storelva,rr,Dognnedbor v2.0,mm,0,20.3,5.9
3/9/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/10/15,Storelva,rr,Dognnedbor v2.0,mm,0,7.7,4.2
3/11/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/12/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/13/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/14/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/15/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/16/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/17/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/18/15,Storelva,rr,Dognnedbor v2.0,mm,0,2,0.3
3/19/15,Storelva,rr,Dognnedbor v2.0,mm,0.1,6.2,4.6
3/20/15,Storelva,rr,Dognnedbor v2.0,mm,0.1,5.7,1.6
3/21/15,Storelva,rr,Dognnedbor v2.0,mm,5.8,6.8,6.3
3/22/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/23/15,Storelva,rr,Dognnedbor v2.0,mm,3,4.5,3.8
3/24/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/25/15,Storelva,rr,Dognnedbor v2.0,mm,0.1,4.1,1.6
3/26/15,Storelva,rr,Dognnedbor v2.0,mm,18.5,41,29.3
3/27/15,Storelva,rr,Dognnedbor v2.0,mm,4.7,8.3,7
3/28/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/29/15,Storelva,rr,Dognnedbor v2.0,mm,9,18.1,11.8
3/30/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
3/31/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/1/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/2/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/3/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/4/15,Storelva,rr,Dognnedbor v2.0,mm,0,0.3,0
4/5/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/6/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/7/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/8/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/9/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/10/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/11/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/12/15,Storelva,rr,Dognnedbor v2.0,mm,0,3.1,2
4/13/15,Storelva,rr,Dognnedbor v2.0,mm,0,5.1,1.2
4/14/15,Storelva,rr,Dognnedbor v2.0,mm,0.1,1.9,0.6
4/15/15,Storelva,rr,Dognnedbor v2.0,mm,0,1.8,0.7
4/16/15,Storelva,rr,Dognnedbor v2.0,mm,1.3,5.2,2.7
4/17/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/18/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/19/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/20/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/21/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/22/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/23/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/24/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/25/15,Storelva,rr,Dognnedbor v2.0,mm,0,2.4,1.2
4/26/15,Storelva,rr,Dognnedbor v2.0,mm,1.6,3.2,2.1
4/27/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
4/28/15,Storelva,rr,Dognnedbor v2.0,mm,0,0.9,0.3
4/29/15,Storelva,rr,Dognnedbor v2.0,mm,0,1,0
4/30/15,Storelva,rr,Dognnedbor v2.0,mm,0.7,9.7,5.4
5/1/15,Storelva,rr,Dognnedbor v2.0,mm,0.3,4.6,3.6
5/2/15,Storelva,rr,Dognnedbor v2.0,mm,0,1.2,0
5/3/15,Storelva,rr,Dognnedbor v2.0,mm,0.1,1.6,1.2
5/4/15,Storelva,rr,Dognnedbor v2.0,mm,3.4,8.9,5.8
5/5/15,Storelva,rr,Dognnedbor v2.0,mm,2,10.4,5.8
5/6/15,Storelva,rr,Dognnedbor v2.0,mm,34.4,46.9,41.5
5/7/15,Storelva,rr,Dognnedbor v2.0,mm,7.3,10.8,9
5/8/15,Storelva,rr,Dognnedbor v2.0,mm,1.7,5,3.6
5/9/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
5/10/15,Storelva,rr,Dognnedbor v2.0,mm,5.6,10.1,7.8
5/11/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
5/12/15,Storelva,rr,Dognnedbor v2.0,mm,2.8,3.5,3.1
5/13/15,Storelva,rr,Dognnedbor v2.0,mm,0,6.8,0.3
5/14/15,Storelva,rr,Dognnedbor v2.0,mm,1.1,3.7,2.9
5/15/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
5/16/15,Storelva,rr,Dognnedbor v2.0,mm,0,0.1,0
5/17/15,Storelva,rr,Dognnedbor v2.0,mm,0.1,1.7,0.5
5/18/15,Storelva,rr,Dognnedbor v2.0,mm,0,0,0
5/19/15,Storelva,rr,Dognnedbor v2.0,mm,27.5,42.7,35.7
5/20/15,Storelva,rr,Dognnedbor v2.0,mm,0.2,2.5,0.8
5/21/15,Storelva,rr,Dognnedbor v2.0,mm,0,0.2,0
