station_name,datetime,FDOM_QSU,Conductivity_mS_m,pH,Temp_C,Turbidity_NTU
Malselva - loggestasjon,2018-01-06T13:00:00Z,10.31,4.736,7.407,0.002,NA
Malselva - loggestasjon,2018-01-06T14:00:00Z,10.55,4.664,7.41,0.004,NA
Malselva - loggestasjon,2018-01-06T15:00:00Z,10.35,4.654,7.423,0.007,NA
Malselva - loggestasjon,2018-01-06T16:00:00Z,10.55,4.645,7.424,0.002,NA
Malselva - loggestasjon,2018-01-06T17:00:00Z,10.4,4.605,7.423,0.001,NA
Malselva - loggestasjon,2018-01-06T18:00:00Z,10.5,4.602,7.426,0.006,NA
Malselva - loggestasjon,2018-01-06T19:00:00Z,10.4,4.664,7.415,0.006,NA
Malselva - loggestasjon,2018-01-06T20:00:00Z,10.31,4.625,7.426,0.008,NA
Malselva - loggestasjon,2018-01-06T21:00:00Z,10.45,4.548,7.423,0.002,NA
Malselva - loggestasjon,2018-01-06T22:00:00Z,10.16,4.615,7.403,0.002,NA
Malselva - loggestasjon,2018-01-06T23:00:00Z,10.35,4.518,7.428,0.006,NA
Malselva - loggestasjon,2018-01-07T00:00:00Z,10.31,4.485,7.409,0.002,NA
Malselva - loggestasjon,2018-01-07T01:00:00Z,10.35,4.492,7.427,0.007,NA
Malselva - loggestasjon,2018-01-07T02:00:00Z,10.35,4.457,7.434,0.007,NA
Malselva - loggestasjon,2018-01-07T03:00:00Z,10.4,4.485,7.438,0.005,NA
Malselva - loggestasjon,2018-01-07T04:00:00Z,10.4,4.476,7.431,0.009,NA
Malselva - loggestasjon,2018-01-07T05:00:00Z,10.45,4.491,7.426,0.005,NA
Malselva - loggestasjon,2018-01-07T06:00:00Z,10.45,4.512,7.419,0.007,NA
Malselva - loggestasjon,2018-01-07T07:00:00Z,10.4,4.517,7.422,0.01,NA
Malselva - loggestasjon,2018-01-07T08:00:00Z,10.4,4.56,7.425,0.01,NA
Malselva - loggestasjon,2018-01-07T09:00:00Z,10.4,4.565,7.425,0.008,NA
Malselva - loggestasjon,2018-01-07T10:00:00Z,10.4,4.578,7.418,0.007,NA
Malselva - loggestasjon,2018-01-07T11:00:00Z,10.4,4.6,7.418,0.004,NA
Malselva - loggestasjon,2018-01-07T12:00:00Z,10.31,4.614,7.411,0.006,NA
Malselva - loggestasjon,2018-01-07T13:00:00Z,10.45,4.626,7.402,0.002,NA
Malselva - loggestasjon,2018-01-07T14:00:00Z,10.35,4.739,7.407,0.003,NA
Malselva - loggestasjon,2018-01-07T15:00:00Z,10.45,4.823,7.415,0.006,NA
Malselva - loggestasjon,2018-01-07T16:00:00Z,10.4,5.059,7.425,0.004,NA
Malselva - loggestasjon,2018-01-07T17:00:00Z,10.6,5.146,7.411,0.002,NA
Malselva - loggestasjon,2018-01-07T18:00:00Z,10.45,5.305,7.427,0.005,NA
Malselva - loggestasjon,2018-01-07T19:00:00Z,10.4,5.126,7.43,0.006,NA
Malselva - loggestasjon,2018-01-07T20:00:00Z,10.21,5.05,7.421,0.001,NA
Malselva - loggestasjon,2018-01-07T21:00:00Z,10.35,4.949,7.421,0.007,NA
Malselva - loggestasjon,2018-01-07T22:00:00Z,10.31,4.881,7.426,0.001,NA
Malselva - loggestasjon,2018-01-07T23:00:00Z,10.35,4.822,7.424,0.004,NA
Malselva - loggestasjon,2018-01-08T00:00:00Z,10.31,4.818,7.429,0.008,NA
Malselva - loggestasjon,2018-01-08T01:00:00Z,10.55,4.776,7.428,0.01,NA
Malselva - loggestasjon,2018-01-08T02:00:00Z,10.35,4.72,7.427,0.003,NA
Malselva - loggestasjon,2018-01-08T03:00:00Z,10.35,4.694,7.423,0.005,NA
Malselva - loggestasjon,2018-01-08T04:00:00Z,10.4,4.658,7.424,0.004,NA
Malselva - loggestasjon,2018-01-08T05:00:00Z,10.4,4.678,7.423,0.004,NA
Malselva - loggestasjon,2018-01-08T06:00:00Z,10.26,4.639,7.417,0.006,NA
Malselva - loggestasjon,2018-01-08T07:00:00Z,10.31,4.632,7.413,0.016,NA
Malselva - loggestasjon,2018-01-08T08:00:00Z,10.35,4.708,7.418,0.003,NA
Malselva - loggestasjon,2018-01-08T09:00:00Z,10.26,4.767,7.414,0.003,NA
Malselva - loggestasjon,2018-01-08T10:00:00Z,10.21,4.717,7.418,0.004,NA
Malselva - loggestasjon,2018-01-08T11:00:00Z,10.65,4.663,7.425,0.003,NA
Malselva - loggestasjon,2018-01-08T12:00:00Z,10.26,4.642,7.426,0.006,NA
Malselva - loggestasjon,2018-01-08T13:00:00Z,10.16,4.62,7.42,0.008,NA
Malselva - loggestasjon,2018-01-08T14:00:00Z,10.35,4.609,7.426,0.007,NA
Malselva - loggestasjon,2018-01-08T15:00:00Z,10.21,4.597,7.426,0.003,NA
Malselva - loggestasjon,2018-01-08T16:00:00Z,10.21,4.587,7.422,0.004,NA
Malselva - loggestasjon,2018-01-08T17:00:00Z,10.31,4.564,7.428,0.005,NA
Malselva - loggestasjon,2018-01-08T18:00:00Z,10.21,4.561,7.428,0.001,NA
Malselva - loggestasjon,2018-01-08T19:00:00Z,10.45,4.618,7.428,0.003,NA
Malselva - loggestasjon,2018-01-08T20:00:00Z,10.16,4.527,7.431,0.005,NA
Malselva - loggestasjon,2018-01-08T21:00:00Z,10.45,4.529,7.43,0.006,NA
Malselva - loggestasjon,2018-01-08T22:00:00Z,10.35,4.512,7.433,0.005,NA
Malselva - loggestasjon,2018-01-08T23:00:00Z,10.31,4.505,7.43,0.007,NA
Malselva - loggestasjon,2018-01-09T00:00:00Z,10.21,4.523,7.439,0.006,NA
Malselva - loggestasjon,2018-01-09T01:00:00Z,10.16,4.527,7.44,0.006,NA
Malselva - loggestasjon,2018-01-09T02:00:00Z,10.26,4.502,7.439,0.005,NA
Malselva - loggestasjon,2018-01-09T03:00:00Z,10.55,4.516,7.44,0.006,NA
Malselva - loggestasjon,2018-01-09T04:00:00Z,10.45,4.496,7.432,0.004,NA
Malselva - loggestasjon,2018-01-09T05:00:00Z,10.5,4.506,7.428,0.006,NA
Malselva - loggestasjon,2018-01-09T06:00:00Z,10.6,4.51,7.441,0.007,NA
Malselva - loggestasjon,2018-01-09T07:00:00Z,10.55,4.53,7.436,0.003,NA
Malselva - loggestasjon,2018-01-09T08:00:00Z,10.4,4.522,7.439,0.005,NA
Malselva - loggestasjon,2018-01-09T09:00:00Z,10.6,4.542,7.433,0.008,NA
Malselva - loggestasjon,2018-01-09T10:00:00Z,10.6,4.525,7.436,0.003,NA
Malselva - loggestasjon,2018-01-09T11:00:00Z,10.65,4.513,7.429,0.006,NA
Malselva - loggestasjon,2018-01-09T12:00:00Z,10.5,4.571,7.429,0.005,NA
Malselva - loggestasjon,2018-01-09T13:00:00Z,10.55,4.589,7.431,0.004,NA
Malselva - loggestasjon,2018-01-09T14:00:00Z,10.35,4.594,7.426,0.003,NA
Malselva - loggestasjon,2018-01-09T15:00:00Z,10.35,4.574,7.431,0.006,NA
Malselva - loggestasjon,2018-01-09T16:00:00Z,10.4,4.57,7.447,0.008,NA
Malselva - loggestasjon,2018-01-09T17:00:00Z,10.26,4.493,7.447,0.004,NA
Malselva - loggestasjon,2018-01-09T18:00:00Z,10.16,4.394,7.445,0.003,NA
Malselva - loggestasjon,2018-01-09T19:00:00Z,10.16,4.345,7.438,0.006,NA
Malselva - loggestasjon,2018-01-09T20:00:00Z,9.96,4.263,7.444,0.003,NA
Malselva - loggestasjon,2018-01-09T21:00:00Z,10.01,4.245,7.444,0.001,NA
Malselva - loggestasjon,2018-01-09T22:00:00Z,10.21,4.218,7.448,0.007,NA
Malselva - loggestasjon,2018-01-09T23:00:00Z,10.01,4.195,7.437,0.008,NA
Malselva - loggestasjon,2018-01-10T00:00:00Z,9.96,4.205,7.443,0.006,NA
Malselva - loggestasjon,2018-01-10T01:00:00Z,10.21,4.25,7.449,0.004,NA
Malselva - loggestasjon,2018-01-10T02:00:00Z,10.16,4.301,7.449,0.002,NA
Malselva - loggestasjon,2018-01-10T03:00:00Z,10.21,4.358,7.449,0.007,NA
Malselva - loggestasjon,2018-01-10T04:00:00Z,10.35,4.416,7.453,0.005,NA
Malselva - loggestasjon,2018-01-10T05:00:00Z,10.21,4.428,7.452,0.003,NA
Malselva - loggestasjon,2018-01-10T06:00:00Z,10.6,4.449,7.45,0.002,NA
Malselva - loggestasjon,2018-01-10T07:00:00Z,10.35,4.492,7.453,0.001,NA
Malselva - loggestasjon,2018-01-10T08:00:00Z,10.35,4.479,7.447,0.004,NA
Malselva - loggestasjon,2018-01-10T09:00:00Z,10.6,4.5,7.453,0.002,NA
Malselva - loggestasjon,2018-01-10T10:00:00Z,10.45,4.482,7.449,0.006,NA
Malselva - loggestasjon,2018-01-10T11:00:00Z,10.45,4.501,7.449,0.006,NA
Malselva - loggestasjon,2018-01-10T12:00:00Z,10.4,4.515,7.45,0.005,NA
Malselva - loggestasjon,2018-01-10T13:00:00Z,10.6,4.517,7.45,0.002,NA
Malselva - loggestasjon,2018-01-10T14:00:00Z,10.55,4.53,7.446,0.001,NA
Malselva - loggestasjon,2018-01-10T15:00:00Z,10.6,4.522,7.449,0.003,NA
Malselva - loggestasjon,2018-01-10T16:00:00Z,10.65,4.541,7.445,0.008,NA
Malselva - loggestasjon,2018-01-10T17:00:00Z,10.55,4.526,7.44,0.007,NA
Malselva - loggestasjon,2018-01-10T18:00:00Z,10.4,4.526,7.445,0.003,NA
Malselva - loggestasjon,2018-01-10T19:00:00Z,10.5,4.554,7.443,0.004,NA
Malselva - loggestasjon,2018-01-10T20:00:00Z,10.6,4.535,7.441,0.006,NA
Malselva - loggestasjon,2018-01-10T21:00:00Z,10.5,4.518,7.44,0.006,NA
Malselva - loggestasjon,2018-01-10T22:00:00Z,10.35,4.533,7.443,0.006,NA
Malselva - loggestasjon,2018-01-10T23:00:00Z,10.35,4.507,7.447,0.006,NA
Malselva - loggestasjon,2018-01-11T00:00:00Z,10.35,4.491,7.448,0.007,NA
Malselva - loggestasjon,2018-01-11T01:00:00Z,10.31,4.431,7.445,0.007,NA
Malselva - loggestasjon,2018-01-11T02:00:00Z,10.16,4.353,7.439,0.008,NA
Malselva - loggestasjon,2018-01-11T03:00:00Z,10.21,4.302,7.443,0.005,NA
Malselva - loggestasjon,2018-01-11T04:00:00Z,10.31,4.273,7.443,0.001,NA
Malselva - loggestasjon,2018-01-11T05:00:00Z,10.06,4.264,7.436,0.004,NA
Malselva - loggestasjon,2018-01-11T06:00:00Z,10.26,4.256,7.437,0.009,NA
Malselva - loggestasjon,2018-01-11T07:00:00Z,10.11,4.235,7.43,0.001,NA
Malselva - loggestasjon,2018-01-11T08:00:00Z,10.31,4.256,7.438,0.002,NA
Malselva - loggestasjon,2018-01-11T09:00:00Z,10.26,4.289,7.437,0.009,NA
Malselva - loggestasjon,2018-01-11T10:00:00Z,10.26,4.343,7.446,0.006,NA
Malselva - loggestasjon,2018-01-11T11:00:00Z,10.35,4.352,7.435,0.007,NA
Malselva - loggestasjon,2018-01-11T12:00:00Z,10.45,4.4,7.445,0.007,NA
Malselva - loggestasjon,2018-01-11T13:00:00Z,10.11,4.411,7.435,0.014,NA
Malselva - loggestasjon,2018-01-11T14:00:00Z,10.11,4.423,7.453,0.008,NA
Malselva - loggestasjon,2018-01-11T15:00:00Z,10.5,4.454,7.439,0.003,NA
Malselva - loggestasjon,2018-01-11T16:00:00Z,10.31,4.436,7.451,0.005,NA
Malselva - loggestasjon,2018-01-11T17:00:00Z,10.35,4.445,7.449,0.007,NA
Malselva - loggestasjon,2018-01-11T18:00:00Z,10.4,4.432,7.447,0.005,NA
Malselva - loggestasjon,2018-01-11T19:00:00Z,10.4,4.4,7.434,0.002,NA
Malselva - loggestasjon,2018-01-11T20:00:00Z,10.45,4.391,7.44,0.005,NA
Malselva - loggestasjon,2018-01-11T21:00:00Z,10.26,4.366,7.438,0.001,NA
Malselva - loggestasjon,2018-01-11T22:00:00Z,10.4,4.402,7.432,0.002,NA
Malselva - loggestasjon,2018-01-11T23:00:00Z,10.5,4.432,7.434,0.004,NA
Malselva - loggestasjon,2018-01-12T00:00:00Z,10.4,4.447,7.435,0.007,NA
Malselva - loggestasjon,2018-01-12T01:00:00Z,10.31,4.451,7.425,0.005,NA
Malselva - loggestasjon,2018-01-12T02:00:00Z,10.4,4.471,7.437,0.004,NA
Malselva - loggestasjon,2018-01-12T03:00:00Z,10.5,4.486,7.432,0.003,NA
Malselva - loggestasjon,2018-01-12T04:00:00Z,10.35,4.506,7.435,0.006,NA
Malselva - loggestasjon,2018-01-12T05:00:00Z,10.55,4.504,7.429,0,NA
Malselva - loggestasjon,2018-01-12T06:00:00Z,10.26,4.523,7.433,0.005,NA
Malselva - loggestasjon,2018-01-12T07:00:00Z,10.4,4.528,7.425,0.007,NA
Malselva - loggestasjon,2018-01-12T08:00:00Z,10.74,4.531,7.427,0.009,NA
Malselva - loggestasjon,2018-01-12T09:00:00Z,10.5,4.543,7.423,0.005,NA
Malselva - loggestasjon,2018-01-12T10:00:00Z,10.7,4.539,7.427,0.005,NA
Malselva - loggestasjon,2018-01-12T11:00:00Z,10.4,4.551,7.424,0.007,NA
Malselva - loggestasjon,2018-01-12T12:00:00Z,10.4,4.559,7.423,0.006,NA
Malselva - loggestasjon,2018-01-12T13:00:00Z,10.65,4.551,7.429,0.003,NA
Malselva - loggestasjon,2018-01-12T14:00:00Z,10.55,4.554,7.425,0.006,NA
Malselva - loggestasjon,2018-01-12T15:00:00Z,10.5,4.553,7.423,0.006,NA
Malselva - loggestasjon,2018-01-12T16:00:00Z,10.26,4.564,7.423,0.004,NA
Malselva - loggestasjon,2018-01-12T17:00:00Z,10.55,4.558,7.425,0.007,NA
Malselva - loggestasjon,2018-01-12T18:00:00Z,10.4,4.561,7.434,0.004,NA
Malselva - loggestasjon,2018-01-12T19:00:00Z,10.65,4.561,7.431,0.005,NA
Malselva - loggestasjon,2018-01-12T20:00:00Z,10.45,4.555,7.431,0.004,NA
Malselva - loggestasjon,2018-01-12T21:00:00Z,10.5,4.553,7.422,0.007,NA
Malselva - loggestasjon,2018-01-12T22:00:00Z,10.45,4.553,7.433,0.003,NA
Malselva - loggestasjon,2018-01-12T23:00:00Z,10.5,4.558,7.433,0.006,NA
Malselva - loggestasjon,2018-01-13T00:00:00Z,10.26,4.542,7.426,0.008,NA
Malselva - loggestasjon,2018-01-13T01:00:00Z,10.35,4.55,7.431,0.004,NA
Malselva - loggestasjon,2018-01-13T02:00:00Z,10.5,4.513,7.429,0.006,NA
Malselva - loggestasjon,2018-01-13T03:00:00Z,10.4,4.523,7.437,0.02,NA
Malselva - loggestasjon,2018-01-13T04:00:00Z,10.5,4.519,7.436,0.006,NA
Malselva - loggestasjon,2018-01-13T05:00:00Z,10.45,4.511,7.439,0.002,NA
Malselva - loggestasjon,2018-01-13T06:00:00Z,10.55,4.521,7.42,0.006,NA
Malselva - loggestasjon,2018-01-13T07:00:00Z,10.45,4.522,7.44,0.007,NA
Malselva - loggestasjon,2018-01-13T08:00:00Z,10.7,4.526,7.43,0.005,NA
Malselva - loggestasjon,2018-01-13T09:00:00Z,10.65,4.513,7.434,0.006,NA
Malselva - loggestasjon,2018-01-13T10:00:00Z,10.6,4.525,7.442,0.007,NA
Malselva - loggestasjon,2018-01-13T11:00:00Z,10.5,4.528,7.439,0.006,NA
Malselva - loggestasjon,2018-01-13T12:00:00Z,10.55,4.513,7.44,0.005,NA
Malselva - loggestasjon,2018-01-13T13:00:00Z,10.55,4.518,7.442,0.003,NA
