station_name,datetime,FDOM_QSU,Conductivity_mS_m,pH,Temp_C,Turbidity_NTU
Malselva - loggestasjon,2018-01-01T00:00:00Z,11.14,4.942,7.459,0.004,NA
Malselva - loggestasjon,2018-01-01T01:00:00Z,10.89,4.94,7.453,0.01,NA
Malselva - loggestasjon,2018-01-01T02:00:00Z,10.94,4.924,7.437,0.008,NA
Malselva - loggestasjon,2018-01-01T03:00:00Z,11.04,4.904,7.459,0.003,NA
Malselva - loggestasjon,2018-01-01T04:00:00Z,10.94,4.876,7.462,0.007,NA
Malselva - loggestasjon,2018-01-01T05:00:00Z,11.09,4.853,7.463,0.006,NA
Malselva - loggestasjon,2018-01-01T06:00:00Z,11.09,4.868,7.461,0.004,NA
Malselva - loggestasjon,2018-01-01T07:00:00Z,10.84,4.862,7.463,0.009,NA
Malselva - loggestasjon,2018-01-01T08:00:00Z,11.18,4.839,7.463,0.007,NA
Malselva - loggestasjon,2018-01-01T09:00:00Z,11.14,4.839,7.461,0.004,NA
Malselva - loggestasjon,2018-01-01T10:00:00Z,10.89,4.856,7.457,0.002,NA
Malselva - loggestasjon,2018-01-01T11:00:00Z,10.99,4.857,7.453,0.003,NA
Malselva - loggestasjon,2018-01-01T12:00:00Z,11.14,4.861,7.453,0.005,NA
Malselva - loggestasjon,2018-01-01T13:00:00Z,11.09,4.882,7.455,0.006,NA
Malselva - loggestasjon,2018-01-01T14:00:00Z,11.14,4.871,7.456,0.007,NA
Malselva - loggestasjon,2018-01-01T15:00:00Z,11.18,4.942,7.453,0.009,NA
Malselva - loggestasjon,2018-01-01T16:00:00Z,11.14,4.927,7.452,0.002,NA
Malselva - loggestasjon,2018-01-01T17:00:00Z,11.04,4.975,7.46,0.009,NA
Malselva - loggestasjon,2018-01-01T18:00:00Z,11.18,4.981,7.448,0.003,NA
Malselva - loggestasjon,2018-01-01T19:00:00Z,11.04,4.986,7.45,0.008,NA
Malselva - loggestasjon,2018-01-01T20:00:00Z,11.04,5.026,7.451,0.004,NA
Malselva - loggestasjon,2018-01-01T21:00:00Z,11.09,5.037,7.433,0.009,NA
Malselva - loggestasjon,2018-01-01T22:00:00Z,11.04,5.1,7.443,0.005,NA
Malselva - loggestasjon,2018-01-01T23:00:00Z,11.28,5.195,7.448,0.004,NA
Malselva - loggestasjon,2018-01-02T00:00:00Z,10.94,5.149,7.449,0.003,NA
Malselva - loggestasjon,2018-01-02T01:00:00Z,10.84,5.178,7.452,0.008,NA
Malselva - loggestasjon,2018-01-02T02:00:00Z,10.99,5.197,7.44,0.007,NA
Malselva - loggestasjon,2018-01-02T03:00:00Z,11.23,5.217,7.448,0.007,NA
Malselva - loggestasjon,2018-01-02T04:00:00Z,11.04,5.228,7.452,0.007,NA
Malselva - loggestasjon,2018-01-02T05:00:00Z,11.14,5.239,7.456,0.006,NA
Malselva - loggestasjon,2018-01-02T06:00:00Z,11.09,5.209,7.456,0.005,NA
Malselva - loggestasjon,2018-01-02T07:00:00Z,10.99,5.196,7.452,0.013,NA
Malselva - loggestasjon,2018-01-02T08:00:00Z,11.04,5.193,7.446,0.007,NA
Malselva - loggestasjon,2018-01-02T09:00:00Z,10.94,5.19,7.438,0.006,NA
Malselva - loggestasjon,2018-01-02T10:00:00Z,11.04,5.177,7.445,0.008,NA
Malselva - loggestasjon,2018-01-02T11:00:00Z,10.94,5.168,7.434,0.007,NA
Malselva - loggestasjon,2018-01-02T12:00:00Z,11.04,5.154,7.446,0.009,NA
Malselva - loggestasjon,2018-01-02T13:00:00Z,10.89,5.21,7.434,0.003,NA
Malselva - loggestasjon,2018-01-02T14:00:00Z,10.89,5.143,7.434,0.011,NA
Malselva - loggestasjon,2018-01-02T15:00:00Z,10.79,5.264,7.443,0.004,NA
Malselva - loggestasjon,2018-01-02T16:00:00Z,11.18,5.27,7.445,0.001,NA
Malselva - loggestasjon,2018-01-02T17:00:00Z,11.09,5.253,7.448,0.008,NA
Malselva - loggestasjon,2018-01-02T18:00:00Z,10.84,5.378,7.449,0.006,NA
Malselva - loggestasjon,2018-01-02T19:00:00Z,11.23,5.503,7.443,0.004,NA
Malselva - loggestasjon,2018-01-02T20:00:00Z,10.89,5.526,7.448,0.003,NA
Malselva - loggestasjon,2018-01-02T21:00:00Z,10.94,5.509,7.449,0.007,NA
Malselva - loggestasjon,2018-01-02T22:00:00Z,10.79,5.449,7.449,0.004,NA
Malselva - loggestasjon,2018-01-02T23:00:00Z,10.79,5.415,7.451,0.004,NA
Malselva - loggestasjon,2018-01-03T00:00:00Z,10.65,5.395,7.451,0.006,NA
Malselva - loggestasjon,2018-01-03T01:00:00Z,10.84,5.341,7.45,0.005,NA
Malselva - loggestasjon,2018-01-03T02:00:00Z,10.65,5.286,7.437,0.008,NA
Malselva - loggestasjon,2018-01-03T03:00:00Z,10.7,5.155,7.434,0.007,NA
Malselva - loggestasjon,2018-01-03T04:00:00Z,10.84,5.115,7.434,0.007,NA
Malselva - loggestasjon,2018-01-03T05:00:00Z,11.14,5.053,7.434,0.006,NA
Malselva - loggestasjon,2018-01-03T06:00:00Z,10.65,4.992,7.428,0.009,NA
Malselva - loggestasjon,2018-01-03T07:00:00Z,10.65,4.962,7.418,0.009,NA
Malselva - loggestasjon,2018-01-03T08:00:00Z,10.94,4.98,7.433,0.01,NA
Malselva - loggestasjon,2018-01-03T09:00:00Z,10.79,5.015,7.432,0.002,NA
Malselva - loggestasjon,2018-01-03T10:00:00Z,10.74,5.022,7.437,0.003,NA
Malselva - loggestasjon,2018-01-03T11:00:00Z,10.7,5.061,7.417,0.003,NA
Malselva - loggestasjon,2018-01-03T12:00:00Z,10.94,5.046,7.444,0.008,NA
Malselva - loggestasjon,2018-01-03T13:00:00Z,10.94,5.016,7.439,0.002,NA
Malselva - loggestasjon,2018-01-03T14:00:00Z,10.7,5.011,7.427,0.003,NA
Malselva - loggestasjon,2018-01-03T15:00:00Z,10.84,4.991,7.426,0.012,NA
Malselva - loggestasjon,2018-01-03T16:00:00Z,10.55,4.996,7.428,0.002,NA
Malselva - loggestasjon,2018-01-03T17:00:00Z,10.99,5.02,7.433,0.004,NA
Malselva - loggestasjon,2018-01-03T18:00:00Z,10.94,5.054,7.432,0.007,NA
Malselva - loggestasjon,2018-01-03T19:00:00Z,10.89,5.077,7.428,0.006,NA
Malselva - loggestasjon,2018-01-03T20:00:00Z,10.89,5.126,7.431,0.004,NA
Malselva - loggestasjon,2018-01-03T21:00:00Z,10.84,5.171,7.424,0.003,NA
Malselva - loggestasjon,2018-01-03T22:00:00Z,10.6,5.207,7.428,0.004,NA
Malselva - loggestasjon,2018-01-03T23:00:00Z,10.79,5.243,7.43,0.005,NA
Malselva - loggestasjon,2018-01-04T00:00:00Z,10.7,5.277,7.431,0.007,NA
Malselva - loggestasjon,2018-01-04T01:00:00Z,10.65,5.303,7.433,0.006,NA
Malselva - loggestasjon,2018-01-04T02:00:00Z,10.79,5.323,7.435,0.003,NA
Malselva - loggestasjon,2018-01-04T03:00:00Z,10.84,5.341,7.428,0.003,NA
Malselva - loggestasjon,2018-01-04T04:00:00Z,10.65,5.341,7.413,0.008,NA
Malselva - loggestasjon,2018-01-04T05:00:00Z,10.79,5.345,7.414,0.007,NA
Malselva - loggestasjon,2018-01-04T06:00:00Z,10.6,5.329,7.437,0.006,NA
Malselva - loggestasjon,2018-01-04T07:00:00Z,10.7,5.35,7.437,0.004,NA
Malselva - loggestasjon,2018-01-04T08:00:00Z,10.5,5.364,7.431,0.008,NA
Malselva - loggestasjon,2018-01-04T09:00:00Z,10.6,5.324,7.434,0.008,NA
Malselva - loggestasjon,2018-01-04T10:00:00Z,10.79,5.336,7.437,0.004,NA
Malselva - loggestasjon,2018-01-04T11:00:00Z,10.74,5.317,7.436,0.006,NA
Malselva - loggestasjon,2018-01-04T12:00:00Z,10.74,5.327,7.435,0.006,NA
Malselva - loggestasjon,2018-01-04T13:00:00Z,10.5,5.302,7.429,0.001,NA
Malselva - loggestasjon,2018-01-04T14:00:00Z,10.55,5.315,7.423,0.006,NA
Malselva - loggestasjon,2018-01-04T15:00:00Z,10.45,5.349,7.421,0.003,NA
Malselva - loggestasjon,2018-01-04T16:00:00Z,10.55,5.329,7.425,0.003,NA
Malselva - loggestasjon,2018-01-04T17:00:00Z,10.45,5.324,7.442,0.006,NA
Malselva - loggestasjon,2018-01-04T18:00:00Z,10.7,5.228,7.456,0.005,NA
Malselva - loggestasjon,2018-01-04T19:00:00Z,10.4,5.151,7.463,0.005,NA
Malselva - loggestasjon,2018-01-04T20:00:00Z,10.45,4.982,7.459,0.007,NA
Malselva - loggestasjon,2018-01-04T21:00:00Z,10.11,4.783,7.458,0.001,NA
Malselva - loggestasjon,2018-01-04T22:00:00Z,10.31,4.652,7.445,0.002,NA
Malselva - loggestasjon,2018-01-04T23:00:00Z,10.16,4.582,7.432,0.004,NA
Malselva - loggestasjon,2018-01-05T00:00:00Z,10.21,4.502,7.447,0.004,NA
Malselva - loggestasjon,2018-01-05T01:00:00Z,10.21,4.545,7.438,0.006,NA
Malselva - loggestasjon,2018-01-05T02:00:00Z,10.4,4.666,7.442,0.007,NA
Malselva - loggestasjon,2018-01-05T03:00:00Z,10.45,4.601,7.441,0.005,NA
Malselva - loggestasjon,2018-01-05T04:00:00Z,10.26,4.666,7.443,0.005,NA
Malselva - loggestasjon,2018-01-05T05:00:00Z,10.45,4.705,7.442,0.008,NA
Malselva - loggestasjon,2018-01-05T06:00:00Z,10.5,4.758,7.443,0.008,NA
Malselva - loggestasjon,2018-01-05T07:00:00Z,10.55,4.763,7.445,0.003,NA
Malselva - loggestasjon,2018-01-05T08:00:00Z,10.79,4.816,7.434,0.005,NA
Malselva - loggestasjon,2018-01-05T09:00:00Z,10.6,4.675,7.431,0.003,NA
Malselva - loggestasjon,2018-01-05T10:00:00Z,10.74,4.775,7.441,0.004,NA
Malselva - loggestasjon,2018-01-05T11:00:00Z,10.79,4.911,7.44,0.003,NA
Malselva - loggestasjon,2018-01-05T12:00:00Z,10.7,4.837,7.436,0.002,NA
Malselva - loggestasjon,2018-01-05T13:00:00Z,10.55,4.907,7.445,0.003,NA
Malselva - loggestasjon,2018-01-05T14:00:00Z,10.74,5.06,7.445,0.001,NA
Malselva - loggestasjon,2018-01-05T15:00:00Z,10.7,5.149,7.449,0.002,NA
Malselva - loggestasjon,2018-01-05T16:00:00Z,10.55,5.133,7.452,0.002,NA
Malselva - loggestasjon,2018-01-05T17:00:00Z,10.7,5,7.443,0.003,NA
Malselva - loggestasjon,2018-01-05T18:00:00Z,10.6,5.001,7.446,0.005,NA
Malselva - loggestasjon,2018-01-05T19:00:00Z,10.6,4.84,7.445,0.004,NA
Malselva - loggestasjon,2018-01-05T20:00:00Z,10.4,4.795,7.446,0.008,NA
Malselva - loggestasjon,2018-01-05T21:00:00Z,10.35,4.689,7.44,0.003,NA
Malselva - loggestasjon,2018-01-05T22:00:00Z,10.4,4.66,7.439,0.002,NA
Malselva - loggestasjon,2018-01-05T23:00:00Z,10.4,4.674,7.439,0.002,NA
Malselva - loggestasjon,2018-01-06T00:00:00Z,10.4,4.741,7.434,0.006,NA
Malselva - loggestasjon,2018-01-06T01:00:00Z,10.45,4.638,7.432,0.003,NA
Malselva - loggestasjon,2018-01-06T02:00:00Z,10.45,4.621,7.427,0.007,NA
Malselva - loggestasjon,2018-01-06T03:00:00Z,10.45,4.574,7.423,0.002,NA
Malselva - loggestasjon,2018-01-06T04:00:00Z,10.45,4.614,7.418,0.006,NA
Malselva - loggestasjon,2018-01-06T05:00:00Z,10.55,4.626,7.423,0.003,NA
Malselva - loggestasjon,2018-01-06T06:00:00Z,10.6,4.614,7.426,0.005,NA
Malselva - loggestasjon,2018-01-06T07:00:00Z,10.35,4.672,7.423,0.001,NA
Malselva - loggestasjon,2018-01-06T08:00:00Z,10.65,4.633,7.417,0.002,NA
Malselva - loggestasjon,2018-01-06T09:00:00Z,10.79,4.638,7.425,0.002,NA
Malselva - loggestasjon,2018-01-06T10:00:00Z,10.45,4.731,7.421,0.004,NA
Malselva - loggestasjon,2018-01-06T11:00:00Z,10.31,4.718,7.421,0.004,NA
Malselva - loggestasjon,2018-01-06T12:00:00Z,10.35,4.711,7.424,0.002,NA
