datetime,Turbidity,SPM,Freshet
2018-06-04 00:00:00,3.49,5.83,Freshet
2018-07-02 15:00:00,2.33,1.63,Not freshet
2018-08-13 10:00:00,4.89,3.74,Not freshet
2018-09-04 13:00:00,1.16,0.86,Not freshet
2018-10-01 12:00:00,4.31,0.77,Not freshet
2018-11-05 13:00:00,3.19,0.96,Not freshet
2018-12-03 12:00:00,2.2,0.77,Not freshet
2019-01-07 11:00:00,0.94,1.5,Not freshet
2019-02-04 12:00:00,7.44,3.44,Not freshet
2019-03-04 12:00:00,1.35,1.14,Not freshet
2019-04-01 12:00:00,0.75,0.9,Not freshet
2019-05-10 12:00:00,10.06,4.91,Freshet
2019-05-21 11:00:00,24.64,26.2,Freshet
2019-05-29 11:00:00,7.97,3.7,Freshet
2019-05-31 11:00:00,15.95,11.4,Freshet
2019-06-03 12:00:00,8.52,2.48,Freshet
2019-06-08 16:00:00,53.15,60.4,Freshet
2019-06-20 10:00:00,2.82,4.8,Freshet
2019-07-01 00:00:00,3.04,2.48,Not freshet
2019-08-05 16:00:00,1.52,1.53,Not freshet
2019-09-02 13:00:00,1.81,0.86,Not freshet
2019-10-07 14:00:00,2.48,1.91,Not freshet
2019-11-04 11:00:00,1.68,2.81,Not freshet
2019-12-09 11:00:00,1.33,0.76,Not freshet
2020-01-06 16:00:00,1.44,0.75,Not freshet
2020-03-02 12:00:00,0.77,2.33,Not freshet
2020-04-14 11:00:00,0.55,6.87,Not freshet
2020-05-04 10:00:00,3.82,1.48,Freshet
2020-06-02 12:00:00,22.57,23.9,Freshet
2020-07-06 10:00:00,2.46,2.21,Not freshet
2020-08-03 08:00:00,2.31,2.05,Not freshet
2020-09-07 10:00:00,1.67,3.74,Not freshet
2020-10-05 12:00:00,1.35,0.95,Not freshet
2020-11-02 09:00:00,1.83,1.06,Not freshet
2020-12-07 11:00:00,1.35,2.1,Not freshet
2021-02-15 10:00:00,0.81,1.32,Not freshet
2021-04-06 09:00:00,0.99,6.25,Not freshet
2021-05-03 08:00:00,1.13,1.65,Freshet
2021-06-07 12:00:00,53.23,8.2,Freshet
2021-07-05 12:00:00,26.7,2.71,Not freshet
2021-08-02 10:00:00,5.41,1.05,Not freshet
2021-09-06 13:00:00,21.12,0.88,Not freshet
2021-10-04 12:00:00,6.54,4.73,Not freshet
2021-11-01 12:00:00,10.05,1.52,Not freshet
2021-12-06 10:00:00,4.03,0.22,Not freshet
