station_name,datetime,CDOM_µg_L_corr_2022,Conductivity_mS_m,pH,Temp_C,Turbidity_NTU
Lundevannet,2015-02-26T12:42:00Z,69.27904877,4.046,6.23,1.35,1.54
Lundevannet,2015-02-26T13:42:00Z,69.59188681,4.046,6.23,1.4,1.53
Lundevannet,2015-02-26T14:42:00Z,69.53924908,4.056,6.23,1.39,1.52
Lundevannet,2015-02-26T15:42:00Z,69.61402246,4.041,6.22,1.39,1.5
Lundevannet,2015-02-26T16:42:00Z,69.75793867,4.039,6.22,1.37,1.5
Lundevannet,2015-02-26T17:42:00Z,69.53650087,4.043,6.23,1.41,1.5
Lundevannet,2015-02-26T18:42:00Z,69.27886594,4.171,6.22,1.41,1.47
Lundevannet,2015-02-26T19:42:00Z,69.33141255,4.303,6.23,1.45,1.45
Lundevannet,2015-02-26T20:42:00Z,69.6749816,4.17,6.22,1.4,1.47
Lundevannet,2015-02-26T21:42:00Z,69.68609535,4.173,6.23,1.41,1.47
Lundevannet,2015-02-26T22:42:00Z,69.92710868,4.175,6.22,1.41,1.46
Lundevannet,2015-02-26T23:42:00Z,69.92710868,4.166,6.22,1.41,1.49
Lundevannet,2015-02-27T00:42:00Z,70.07986249,4.175,6.22,1.45,1.49
Lundevannet,2015-02-27T01:42:00Z,69.61409135,4.163,6.21,1.42,1.71
Lundevannet,2015-02-27T02:42:00Z,69.15692418,4.171,6.22,1.42,1.9
Lundevannet,2015-02-27T03:42:00Z,67.98238044,4.168,6.22,1.41,2.51
Lundevannet,2015-02-27T04:42:00Z,65.80233433,4.158,6.22,1.36,4
Lundevannet,2015-02-27T05:42:00Z,64.9137869,4.167,6.22,1.36,4.07
Lundevannet,2015-02-27T06:42:00Z,64.43214438,4.168,6.22,1.36,4.74
Lundevannet,2015-02-27T07:42:00Z,62.89444672,4.178,6.22,1.4,5.63
Lundevannet,2015-02-27T08:42:00Z,63.57384084,4.178,6.22,1.48,5.31
Lundevannet,2015-02-27T09:42:00Z,63.90852987,4.166,6.22,1.49,4.98
Lundevannet,2015-02-27T10:42:00Z,65.34220261,4.174,6.23,1.58,4.38
Lundevannet,2015-02-27T11:42:00Z,65.87774355,4.176,6.22,1.59,4.1
Lundevannet,2015-02-27T12:42:00Z,67.20972206,4.176,6.22,1.48,3.31
Lundevannet,2015-02-27T13:38:00Z,68.0287968,4.171,6.22,1.56,2.88
Lundevannet,2015-02-27T14:38:00Z,68.38753775,4.166,6.22,1.53,2.63
Lundevannet,2015-02-27T15:38:00Z,68.56283432,4.033,6.22,1.5,2.45
Lundevannet,2015-02-27T16:38:00Z,68.51027688,4.026,6.22,1.49,2.43
Lundevannet,2015-02-27T17:38:00Z,68.42395468,4.025,6.22,1.51,2.43
Lundevannet,2015-02-27T18:38:00Z,68.01029204,4.028,6.22,1.52,2.69
Lundevannet,2015-02-27T19:38:00Z,67.65229932,4.031,6.22,1.52,2.86
Lundevannet,2015-02-27T20:38:00Z,67.23119394,4.031,6.22,1.5,3.05
Lundevannet,2015-02-27T21:38:00Z,67.51076731,4.036,6.22,1.52,2.94
Lundevannet,2015-02-27T22:38:00Z,67.59987055,4.165,6.23,1.51,2.86
Lundevannet,2015-02-27T23:38:00Z,67.90281299,4.031,6.23,1.49,2.72
Lundevannet,2015-02-28T00:38:00Z,68.20299133,4.037,6.23,1.46,2.54
Lundevannet,2015-02-28T01:38:00Z,68.62190651,4.035,6.23,1.44,2.42
Lundevannet,2015-02-28T02:38:00Z,68.36986699,4.031,6.23,1.43,2.4
Lundevannet,2015-02-28T03:38:00Z,68.56064116,4.034,6.23,1.46,2.3
Lundevannet,2015-02-28T04:38:00Z,68.39169207,4.032,6.23,1.45,2.24
Lundevannet,2015-02-28T05:38:00Z,68.46653707,4.034,6.23,1.45,2.22
Lundevannet,2015-02-28T06:38:00Z,68.7326526,4.028,6.23,1.45,2.2
Lundevannet,2015-02-28T07:38:00Z,68.70733904,4.033,6.23,1.48,2.21
Lundevannet,2015-02-28T08:38:00Z,68.70733904,4.035,6.22,1.48,2.22
Lundevannet,2015-02-28T09:38:00Z,68.96819562,4.027,6.22,1.46,2.22
Lundevannet,2015-02-28T10:38:00Z,68.93466946,4.169,6.23,1.49,2.16
Lundevannet,2015-02-28T11:38:00Z,68.97040974,4.161,6.23,1.53,2.09
Lundevannet,2015-02-28T12:38:00Z,69.06761939,4.171,6.23,1.52,2.08
Lundevannet,2015-02-28T13:38:00Z,69.29790077,4.175,6.23,1.54,2
Lundevannet,2015-02-28T14:38:00Z,69.08951644,4.16,6.22,1.57,2.01
Lundevannet,2015-02-28T15:38:00Z,68.80622609,4.158,6.23,1.57,2.07
Lundevannet,2015-02-28T16:38:00Z,69.00079113,4.158,6.23,1.55,2.01
Lundevannet,2015-02-28T17:38:00Z,68.94492594,4.158,6.21,1.59,2.06
Lundevannet,2015-02-28T18:38:00Z,68.76190164,4.159,6.2,1.56,2.06
Lundevannet,2015-02-28T19:38:00Z,68.54485867,4.163,6.18,1.59,2.06
Lundevannet,2015-02-28T20:38:00Z,68.45056144,4.163,6.16,1.58,2.09
Lundevannet,2015-02-28T21:38:00Z,68.54267385,4.154,6.15,1.55,2.06
Lundevannet,2015-02-28T22:38:00Z,68.61722947,4.165,6.14,1.58,2.06
Lundevannet,2015-02-28T23:38:00Z,68.81990492,4.163,6.13,1.59,2
Lundevannet,2015-03-01T00:38:00Z,68.63958471,4.165,6.1,1.57,2.01
Lundevannet,2015-03-01T01:38:00Z,68.67026353,4.169,6.14,1.56,2.03
Lundevannet,2015-03-01T02:38:00Z,68.57556246,4.162,6.13,1.58,2.05
Lundevannet,2015-03-01T03:38:00Z,68.52248113,4.298,6.09,1.6,2.07
Lundevannet,2015-03-01T04:38:00Z,68.44222804,4.161,6.11,1.58,2.12
Lundevannet,2015-03-01T05:38:00Z,68.60889607,4.164,6.12,1.58,2.11
Lundevannet,2015-03-01T06:38:00Z,68.91400943,4.17,6.15,1.63,2.16
Lundevannet,2015-03-01T07:38:00Z,68.43078438,4.16,6.15,1.6,2.35
Lundevannet,2015-03-01T08:38:00Z,67.86645386,4.161,6.12,1.61,2.61
Lundevannet,2015-03-01T09:38:00Z,66.36423047,4.288,6.07,1.64,3.47
Lundevannet,2015-03-01T10:38:00Z,64.52276805,4.165,6.09,1.65,5.19
Lundevannet,2015-03-01T11:38:00Z,62.13482657,4.299,6.08,1.69,7.66
Lundevannet,2015-03-01T12:38:00Z,59.81776631,4.3,NA,1.72,9.59
Lundevannet,2015-03-01T13:38:00Z,60.87285991,4.165,NA,1.68,8.4
Lundevannet,2015-03-01T14:38:00Z,61.28332149,4.169,NA,1.69,8.31
Lundevannet,2015-03-01T15:38:00Z,62.86455898,4.167,NA,1.71,6.9
Lundevannet,2015-03-01T16:38:00Z,64.08953432,4.154,NA,1.74,5.93
