station_name,datetime,pH,Conductivity_mS_m,SPM_mg_L,TOC_mg_L,Turbidity_NTU,PO4_ug_L,TP_ug_L,NO3_ug_L,NH4_ug_L,TN_ug_L,Si_mg_L,Ca_mg_L,DOC_mg_L,PartC_ug_L,PartN_ug_L,TDP_ug_L
Storelva,2018-05-02T12:00:00Z,6.38,2.4,2.26,4.9,1.4,2,7,190,37,440,1.25,1.65,4.8,NA,NA,2
Storelva,2018-06-04T07:10:00Z,6.66,2.56,1.72,4.8,0.87,1,5,47,15,311.784,0.185,1.72,4.3,3.4,NA,3
Storelva,2018-07-03T12:50:00Z,6.93,3.06,1.57,4.3,0.94,2,8,83,37,387.784,0.309,2.03,4.1,33,1.6,3
Storelva,2018-08-06T10:50:00Z,6.85,2.96,1.42,4.2,0.87,2,6,9,NA,276.872,0.428,2.02,4.1,35,NA,2
Storelva,2018-09-03T08:45:00Z,6.92,4.43,1.27,4.1,0.68,1,5,10,18,269.15,0.486,2.11,4.1,20,NA,3
Storelva,2018-10-01T10:15:00Z,6.45,3.69,1.6,6.5,1.1,2,9,170,32,420.707,1.15,2.17,6.5,373,37,3
Storelva,2018-11-05T08:50:00Z,6.53,6.72,1.91,5.2,1.3,2,7,240,32,585.612,1.28,2.43,5,328,22,3
Storelva,2018-12-03T10:30:00Z,6.37,3.48,2.56,6.3,2.9,5,10,260,30,542.457,1.62,1.99,6.2,480,22.7,4
Storelva,2019-01-07T10:45:00Z,6.3,3.06,0.8,5.8,0.74,2,5,220,28,426.124,1.57,1.71,5.8,184,15.9,3
Storelva,2019-02-05T12:20:00Z,6.31,3.07,1.16,5.7,0.77,2,5,180,38,427.304,1.63,1.68,5.8,168,9.88,2
Storelva,2019-03-04T10:10:00Z,6.27,3.26,1.12,5.7,1.1,2,5,200,25,393.19,1.63,1.68,5.8,237,17.8,3
Storelva,2019-04-01T10:45:00Z,6.19,2.6,1.16,5.6,1.1,2,5,180,17,408.164,1.41,1.37,5.4,306,22.4,1
Storelva,2019-05-08T18:55:00Z,6.18,2.34,1.91,4.7,1.4,NA,7,110,17,354.132,0.983,1.43,4.5,350,1,2
Storelva,2019-05-27T13:20:00Z,6.58,2.46,1.86,5.4,1.1,3,7,92,3,325.415,0.633,1.51,5.4,384,NA,2
Storelva,2019-07-01T13:10:00Z,6.68,2.77,3.88,5.6,2.1,2,11,100,8,378.758,0.883,1.64,5.2,510,50.9,3
Storelva,2019-08-05T09:30:00Z,6.14,2.62,0.92,4.8,0.63,2,7,92,9,382.314,0.704,1.67,4.8,251,26.6,3
Storelva,2019-09-02T07:50:00Z,6.39,2.46,1.35,6.6,0.82,1,7,58,3,372.078,0.878,1.57,6.3,362,20.8,3
Storelva,2019-10-07T10:00:00Z,6.26,2.97,3.24,7.8,2.2,4,10,140,27,440,1.34,1.72,7.6,432,32.8,3
Storelva,2019-11-04T11:30:00Z,6.52,2.52,0.81,6.6,1.1,2,7,120,19,439.181,1.41,1.51,6.5,326,33.3,2
Storelva,2019-12-02T12:00:00Z,6.37,2.23,1.63,7.1,1.4,3,8,120,38,460.035,1.33,1.43,6.9,272,30.1,3
Storelva,2020-01-06T15:00:00Z,5.96,2.26,1.07,6,0.89,1,5,140,21,340,1.32,1.29,6,273,15.2,3
Storelva,2020-02-03T11:15:00Z,6.37,2.5,3.09,5.9,2,2,6,150,25,350,1.49,1.4,5.8,289,21.6,2
Storelva,2020-03-02T10:45:00Z,6.22,2.97,2.12,5.5,2.5,3,8,150,17,350,1.46,1.58,5.4,279,27.6,3
Storelva,2020-04-13T19:00:00Z,6.2,2.32,0.6,4.7,0.92,2,8,140,12,300,1.25,1.28,4.6,297,35,1
