site_id,watershed,latitude,longitude,area_km2
Barduelva,1,69.04264,18.59459,2367.56
Malselv_E6,1,69.139,18.6038,5604.67
Malselv,1,69.035,18.65871,3039.05
Olsborg_E6,NA,NA,NA,5585.98
