datetime,FDOM,Turbidity,Q,Event_no
2019-04-19 00:00:00+00:00,19.68,1.77,19.37689,1
2019-04-19 01:00:00+00:00,19.39,2.24,19.50582,1
2019-04-19 02:00:00+00:00,19.34,2.84,19.66114,1
2019-04-19 03:00:00+00:00,19.19,3.3,19.85626,1
2019-04-19 04:00:00+00:00,19.49,2.86,20.02613,1
2019-04-19 05:00:00+00:00,19.83,2.5,20.19678,1
2019-04-19 06:00:00+00:00,20.12,2.61,20.27581,1
2019-04-19 07:00:00+00:00,19.88,2.49,20.38144,1
2019-04-19 08:00:00+00:00,19.98,2.76,20.4741,1
2019-04-19 09:00:00+00:00,20.37,2.63,20.52716,1
2019-04-19 10:00:00+00:00,20.51,2.73,20.55371,1
2019-04-19 11:00:00+00:00,20.46,2.45,20.59358,1
2019-04-19 12:00:00+00:00,20.56,2.18,20.59358,1
2019-04-19 13:00:00+00:00,21.05,2,20.59358,1
2019-04-19 14:00:00+00:00,20.95,2.01,20.59358,1
2019-04-19 15:00:00+00:00,21.39,1.8,20.55371,1
2019-04-19 16:00:00+00:00,21.49,1.81,20.54043,1
2019-04-19 17:00:00+00:00,21.44,2.65,20.60692,1
2019-04-19 18:00:00+00:00,21.39,1.78,20.94113,1
2019-04-19 19:00:00+00:00,21.1,1.87,21.48178,1
2019-04-19 20:00:00+00:00,20.76,1.66,22.09828,1
2019-04-19 21:00:00+00:00,20.85,2.42,22.72433,1
2019-04-19 22:00:00+00:00,21,1.89,23.38796,1
2019-04-19 23:00:00+00:00,21.1,2,23.94622,1
2019-04-20 00:00:00+00:00,21,1.67,24.27872,1
2019-04-20 01:00:00+00:00,21.05,1.73,24.58457,1
2019-04-20 02:00:00+00:00,21.59,1.77,24.78963,1
2019-04-20 03:00:00+00:00,21.83,1.9,24.95133,1
2019-04-20 04:00:00+00:00,22.27,2.1,25.02506,1
2019-04-20 05:00:00+00:00,22.71,1.67,25.11368,1
2019-04-20 06:00:00+00:00,22.03,1.85,25.21725,1
2019-04-20 07:00:00+00:00,22.52,1.57,25.36566,1
2019-04-20 08:00:00+00:00,22.27,1.94,25.55929,1
2019-04-20 09:00:00+00:00,23,2.4,25.78361,1
2019-04-20 10:00:00+00:00,22.76,2.13,26.12991,1
2019-04-20 11:00:00+00:00,23.44,2.02,27.03152,1
2019-04-20 12:00:00+00:00,23.39,2.59,28.99292,1
2019-04-20 13:00:00+00:00,23.69,3.19,31.42338,1
2019-04-20 14:00:00+00:00,24.32,2.79,33.64368,1
2019-04-20 15:00:00+00:00,24.42,2.91,35.44748,1
2019-04-20 16:00:00+00:00,25.01,4.08,36.64666,1
2019-04-20 17:00:00+00:00,25.15,3.67,36.44827,1
2019-04-20 18:00:00+00:00,25.45,2.97,35.73009,1
2019-04-20 19:00:00+00:00,25.1,3.72,35.32077,1
2019-04-20 20:00:00+00:00,24.96,4.91,35.05525,1
2019-04-20 21:00:00+00:00,24.91,4.46,34.98457,1
2019-04-20 22:00:00+00:00,24.71,5.34,34.87878,1
2019-04-20 23:00:00+00:00,25.74,7.53,34.86116,1
2019-04-21 00:00:00+00:00,26.23,5.64,34.91408,1
2019-04-21 01:00:00+00:00,27.3,10.06,35.30318,1
2019-04-21 02:00:00+00:00,25.45,8.47,35.76567,1
2019-04-21 03:00:00+00:00,27.99,12.4,36.24984,1
2019-04-21 04:00:00+00:00,28.08,10.26,37.30194,1
2019-04-21 05:00:00+00:00,28.96,9.25,38.57307,1
2019-04-21 06:00:00+00:00,29.5,8.73,39.6968,1
2019-04-21 07:00:00+00:00,30.18,10.21,40.95307,1
2019-04-21 08:00:00+00:00,30.92,21.31,42.1916,1
2019-04-21 09:00:00+00:00,30.82,11.09,43.48919,1
2019-04-21 10:00:00+00:00,30.67,11.14,45.01013,1
2019-04-21 11:00:00+00:00,31.79,12.02,47.03396,1
2019-04-21 12:00:00+00:00,31.01,9.66,49.63639,1
2019-04-21 13:00:00+00:00,32.43,8.8,53.30479,1
2019-04-21 14:00:00+00:00,31.94,10.47,57.14931,1
2019-04-21 15:00:00+00:00,33.7,11.65,59.53364,1
2019-04-21 16:00:00+00:00,32.04,10.86,61.4481,1
2019-04-21 17:00:00+00:00,33.94,9,64.86829,1
2019-04-21 18:00:00+00:00,32.97,7.53,68.52003,1
