station_id,datetime,pH,Conductivity_mS_m,SPM_mg_L,TOC_mgC_L,Turbiditet_NTU,PO4_ug_L,TP_ug_L,NO3_ug_L,NH4_ug_L,TN_ug_L,Si_mg_L,Ca_mg_L,DOC_mg_L,PartC_ug_L,PartN_ug_L,TDP_ug_L,sampling
Malselv_E6,03.02.2020 12:00,7.42,7.62,2.33,0.96,NA,2,2,71,10,130,1.18,11,1.1,65.7,9.69,NA,monthly
Malselv_E6,4/14/20 11:15,7.38,8.09,6.87,1.1,0.39,4,7,90,7,180,1.19,10.4,1.1,227,27.4,2,monthly
Malselv_E6,05.04.2020 10:30,7.09,7.58,1.48,5.1,1.3,4,5,130,5,300,1.66,8.07,4.9,188,13.3,3,monthly
Malselv_E6,5/20/20,NA,NA,NA,2.7,NA,13,17,165,42,260,NA,NA,3.8,NA,NA,15,freshet_extra
Malselv_E6,5/29/20,NA,NA,NA,3.5,NA,7,16,121,17,360,NA,NA,4.1,NA,NA,7,freshet_extra
Malselv_E6,06.02.2020 12:20,7.43,6.47,23.9,5.1,6,18,22,65,NA,170,1.72,8.25,4.6,1110,142,3,freshet_extra
Malselv_E6,06.03.2020,NA,NA,NA,2.9,NA,6,28,71,11,180,NA,NA,3.1,NA,NA,7,monthly
Malselv_E6,06.10.2020,NA,NA,NA,8.3,NA,38,60,61,21,240,NA,NA,3,NA,NA,41,freshet_extra
Malselv_E6,6/22/20,NA,NA,NA,1.5,NA,1,13,37,11,92,NA,NA,1.6,NA,NA,NA,freshet_extra
Malselv_E6,07.06.2020 10:15,7.52,6.93,2.21,3.3,1,2,2,37,NA,84,1,9.3,3.6,205,17.5,NA,freshet_extra
Malselv_E6,07.08.2020,NA,NA,NA,1.8,NA,1,9,38,9,77,NA,NA,1.4,NA,NA,3,monthly
Malselv_E6,08.01.2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,monthly
Malselv_E6,08.03.2020 08:30,7.56,6.36,2.05,2.3,0.63,2,3,18,NA,63,0.885,8.45,2.4,222,17.2,1,freshet_extra
Malselv_E6,09.07.2020 09:40,7.6,7.6,3.74,1.7,1.2,1,2,20,NA,71,1.05,9.58,1.7,187,21.2,NA,monthly
Malselv_E6,10.05.2020 11:45,7.67,8.03,0.95,1.3,0.65,2,3,33,5,68,1.12,10.8,1.2,96.2,8.98,1,monthly
Malselv_E6,11.02.2020 09:10,7.51,9.05,1.06,1.1,0.56,2,3,93,5,190,1.33,11.2,1,140,37.2,2,monthly
Malselv_E6,12.07.2020 10:45,7.55,7.54,2.1,1.1,0.62,2,3,63,11,150,1.27,9.63,1.2,348,51.5,1,monthly
Malselv_E6,1/29/21 12:00,7.44,8.53,NA,0.84,NA,NA,NA,72,14,130,1.5,11.6,0.87,27.8,3.04,NA,monthly
