datetime,value,station_id,par,parameter_name,unit
2015-01-01T11:00:00Z,56.55856018,Malselvfossen,discharge,Vannforing,m3/s
2015-01-02T11:00:00Z,53.74549759,Malselvfossen,discharge,Vannforing,m3/s
2015-01-03T11:00:00Z,52.64772604,Malselvfossen,discharge,Vannforing,m3/s
2015-01-04T11:00:00Z,51.54993611,Malselvfossen,discharge,Vannforing,m3/s
2015-01-05T11:00:00Z,50.45788096,Malselvfossen,discharge,Vannforing,m3/s
2015-01-06T11:00:00Z,49.36009103,Malselvfossen,discharge,Vannforing,m3/s
2015-01-07T11:00:00Z,48.26231947,Malselvfossen,discharge,Vannforing,m3/s
2015-01-08T11:00:00Z,47.16452954,Malselvfossen,discharge,Vannforing,m3/s
2015-01-09T11:00:00Z,46.06675799,Malselvfossen,discharge,Vannforing,m3/s
2015-01-10T11:00:00Z,44.97468446,Malselvfossen,discharge,Vannforing,m3/s
2015-01-11T11:00:00Z,43.87689453,Malselvfossen,discharge,Vannforing,m3/s
2015-01-12T11:00:00Z,42.77912298,Malselvfossen,discharge,Vannforing,m3/s
2015-01-13T11:00:00Z,42.06442451,Malselvfossen,discharge,Vannforing,m3/s
2015-01-14T11:00:00Z,41.10958162,Malselvfossen,discharge,Vannforing,m3/s
2015-01-15T11:00:00Z,40.45206565,Malselvfossen,discharge,Vannforing,m3/s
2015-01-16T11:00:00Z,39.67446827,Malselvfossen,discharge,Vannforing,m3/s
2015-01-17T11:00:00Z,39.67446827,Malselvfossen,discharge,Vannforing,m3/s
2015-01-18T11:00:00Z,39.07983282,Malselvfossen,discharge,Vannforing,m3/s
2015-01-19T11:00:00Z,38.60527877,Malselvfossen,discharge,Vannforing,m3/s
2015-01-20T11:00:00Z,37.2559116,Malselvfossen,discharge,Vannforing,m3/s
2015-01-21T11:00:00Z,36.56981357,Malselvfossen,discharge,Vannforing,m3/s
2015-01-22T11:00:00Z,35.69501882,Malselvfossen,discharge,Vannforing,m3/s
2015-01-23T11:00:00Z,35.44344158,Malselvfossen,discharge,Vannforing,m3/s
2015-01-24T11:00:00Z,35.38054267,Malselvfossen,discharge,Vannforing,m3/s
2015-01-25T11:00:00Z,34.4428674,Malselvfossen,discharge,Vannforing,m3/s
2015-01-26T11:00:00Z,34.56864683,Malselvfossen,discharge,Vannforing,m3/s
2015-01-27T11:00:00Z,34.19700656,Malselvfossen,discharge,Vannforing,m3/s
2015-01-28T11:00:00Z,33.63095317,Malselvfossen,discharge,Vannforing,m3/s
2015-01-29T11:00:00Z,33.69385208,Malselvfossen,discharge,Vannforing,m3/s
2015-01-30T11:00:00Z,33.00773567,Malselvfossen,discharge,Vannforing,m3/s
2015-01-31T11:00:00Z,32.38451816,Malselvfossen,discharge,Vannforing,m3/s
2015-02-01T11:00:00Z,32.6360954,Malselvfossen,discharge,Vannforing,m3/s
2015-02-02T11:00:00Z,32.6932779,Malselvfossen,discharge,Vannforing,m3/s
2015-02-03T11:00:00Z,32.32163764,Malselvfossen,discharge,Vannforing,m3/s
2015-02-04T11:00:00Z,31.88136368,Malselvfossen,discharge,Vannforing,m3/s
2015-02-05T11:00:00Z,31.38394398,Malselvfossen,discharge,Vannforing,m3/s
2015-02-06T11:00:00Z,32.69899431,Malselvfossen,discharge,Vannforing,m3/s
2015-02-07T11:00:00Z,32.93342232,Malselvfossen,discharge,Vannforing,m3/s
2015-02-08T11:00:00Z,33.71100131,Malselvfossen,discharge,Vannforing,m3/s
2015-02-09T11:00:00Z,33.59093829,Malselvfossen,discharge,Vannforing,m3/s
2015-02-10T11:00:00Z,34.90598862,Malselvfossen,discharge,Vannforing,m3/s
2015-02-11T11:00:00Z,34.96317112,Malselvfossen,discharge,Vannforing,m3/s
2015-02-12T11:00:00Z,35.5635046,Malselvfossen,discharge,Vannforing,m3/s
2015-02-13T11:00:00Z,35.38054267,Malselvfossen,discharge,Vannforing,m3/s
2015-02-14T11:00:00Z,35.62068709,Malselvfossen,discharge,Vannforing,m3/s
2015-02-15T11:00:00Z,35.7979326,Malselvfossen,discharge,Vannforing,m3/s
2015-02-16T11:00:00Z,35.86083151,Malselvfossen,discharge,Vannforing,m3/s
2015-02-17T11:00:00Z,35.6778512,Malselvfossen,discharge,Vannforing,m3/s
2015-02-18T11:00:00Z,35.92371204,Malselvfossen,discharge,Vannforing,m3/s
2015-02-19T11:00:00Z,35.54635536,Malselvfossen,discharge,Vannforing,m3/s
2015-02-20T11:00:00Z,35.16899869,Malselvfossen,discharge,Vannforing,m3/s
2015-02-21T11:00:00Z,34.88883939,Malselvfossen,discharge,Vannforing,m3/s
2015-02-22T11:00:00Z,34.51146433,Malselvfossen,discharge,Vannforing,m3/s
2015-02-23T11:00:00Z,34.13982407,Malselvfossen,discharge,Vannforing,m3/s
2015-02-24T11:00:00Z,33.77390022,Malselvfossen,discharge,Vannforing,m3/s
2015-02-25T11:00:00Z,33.40797637,Malselvfossen,discharge,Vannforing,m3/s
2015-02-26T11:00:00Z,33.04203414,Malselvfossen,discharge,Vannforing,m3/s
2015-02-27T11:00:00Z,32.68184508,Malselvfossen,discharge,Vannforing,m3/s
2015-02-28T11:00:00Z,32.31590284,Malselvfossen,discharge,Vannforing,m3/s
2015-03-01T11:00:00Z,31.96141182,Malselvfossen,discharge,Vannforing,m3/s
2015-03-02T11:00:00Z,31.60692079,Malselvfossen,discharge,Vannforing,m3/s
2015-03-03T11:00:00Z,31.25242976,Malselvfossen,discharge,Vannforing,m3/s
2015-03-04T11:00:00Z,30.89793873,Malselvfossen,discharge,Vannforing,m3/s
2015-03-05T11:00:00Z,30.54916411,Malselvfossen,discharge,Vannforing,m3/s
2015-03-06T11:00:00Z,30.2003895,Malselvfossen,discharge,Vannforing,m3/s
2015-03-07T11:00:00Z,29.85733129,Malselvfossen,discharge,Vannforing,m3/s
2015-03-08T11:00:00Z,29.51427309,Malselvfossen,discharge,Vannforing,m3/s
2015-03-09T11:00:00Z,29.17123326,Malselvfossen,discharge,Vannforing,m3/s
2015-03-10T11:00:00Z,28.87333654,Malselvfossen,discharge,Vannforing,m3/s
2015-03-11T11:00:00Z,30.53572779,Malselvfossen,discharge,Vannforing,m3/s
2015-03-12T11:00:00Z,35.04522276,Malselvfossen,discharge,Vannforing,m3/s
2015-03-13T11:00:00Z,36.1080709,Malselvfossen,discharge,Vannforing,m3/s
2015-03-14T11:00:00Z,41.21163151,Malselvfossen,discharge,Vannforing,m3/s
2015-03-15T11:00:00Z,41.33160263,Malselvfossen,discharge,Vannforing,m3/s
2015-03-16T11:00:00Z,35.44101532,Malselvfossen,discharge,Vannforing,m3/s
2015-03-17T11:00:00Z,31.95365514,Malselvfossen,discharge,Vannforing,m3/s
2015-03-18T11:00:00Z,30.63358687,Malselvfossen,discharge,Vannforing,m3/s
2015-03-19T11:00:00Z,34.09242013,Malselvfossen,discharge,Vannforing,m3/s
2015-03-20T11:00:00Z,34.5511116,Malselvfossen,discharge,Vannforing,m3/s
2015-03-21T11:00:00Z,30.90797462,Malselvfossen,discharge,Vannforing,m3/s
2015-03-22T11:00:00Z,28.66267484,Malselvfossen,discharge,Vannforing,m3/s
2015-03-23T11:00:00Z,28.62821094,Malselvfossen,discharge,Vannforing,m3/s
2015-03-24T11:00:00Z,31.46151072,Malselvfossen,discharge,Vannforing,m3/s
2015-03-25T11:00:00Z,32.52608665,Malselvfossen,discharge,Vannforing,m3/s
2015-03-26T11:00:00Z,31.69887965,Malselvfossen,discharge,Vannforing,m3/s
2015-03-27T11:00:00Z,32.65921838,Malselvfossen,discharge,Vannforing,m3/s
2015-03-28T11:00:00Z,31.617214,Malselvfossen,discharge,Vannforing,m3/s
2015-03-29T11:00:00Z,30.62617943,Malselvfossen,discharge,Vannforing,m3/s
2015-03-30T11:00:00Z,27.50073611,Malselvfossen,discharge,Vannforing,m3/s
2015-03-31T11:00:00Z,28.11978118,Malselvfossen,discharge,Vannforing,m3/s
2015-04-01T11:00:00Z,28.82019781,Malselvfossen,discharge,Vannforing,m3/s
2015-04-02T11:00:00Z,28.55533129,Malselvfossen,discharge,Vannforing,m3/s
2015-04-03T11:00:00Z,29.02778993,Malselvfossen,discharge,Vannforing,m3/s
2015-04-04T11:00:00Z,29.24541794,Malselvfossen,discharge,Vannforing,m3/s
2015-04-05T11:00:00Z,29.82726039,Malselvfossen,discharge,Vannforing,m3/s
2015-04-06T11:00:00Z,28.06127527,Malselvfossen,discharge,Vannforing,m3/s
2015-04-07T11:00:00Z,28.74696893,Malselvfossen,discharge,Vannforing,m3/s
2015-04-08T11:00:00Z,32.58889365,Malselvfossen,discharge,Vannforing,m3/s
2015-04-09T11:00:00Z,35.54516061,Malselvfossen,discharge,Vannforing,m3/s
2015-04-10T11:00:00Z,35.26217068,Malselvfossen,discharge,Vannforing,m3/s
2015-04-11T11:00:00Z,33.58965164,Malselvfossen,discharge,Vannforing,m3/s
2015-04-12T11:00:00Z,30.81066696,Malselvfossen,discharge,Vannforing,m3/s
2015-04-13T11:00:00Z,30.54852079,Malselvfossen,discharge,Vannforing,m3/s
2015-04-14T11:00:00Z,35.63974792,Malselvfossen,discharge,Vannforing,m3/s
2015-04-15T11:00:00Z,37.2684105,Malselvfossen,discharge,Vannforing,m3/s
2015-04-16T11:00:00Z,36.88169803,Malselvfossen,discharge,Vannforing,m3/s
2015-04-17T11:00:00Z,36.88169803,Malselvfossen,discharge,Vannforing,m3/s
2015-04-18T11:00:00Z,36.68915974,Malselvfossen,discharge,Vannforing,m3/s
2015-04-19T11:00:00Z,42.80489278,Malselvfossen,discharge,Vannforing,m3/s
2015-04-20T11:00:00Z,57.04460219,Malselvfossen,discharge,Vannforing,m3/s
2015-04-21T11:00:00Z,81.2142512,Malselvfossen,discharge,Vannforing,m3/s
2015-04-22T11:00:00Z,114.172947,Malselvfossen,discharge,Vannforing,m3/s
2015-04-23T11:00:00Z,104.3607177,Malselvfossen,discharge,Vannforing,m3/s
2015-04-24T11:00:00Z,88.89425908,Malselvfossen,discharge,Vannforing,m3/s
2015-04-25T11:00:00Z,79.31577768,Malselvfossen,discharge,Vannforing,m3/s
2015-04-26T11:00:00Z,69.09902495,Malselvfossen,discharge,Vannforing,m3/s
2015-04-27T11:00:00Z,64.07740569,Malselvfossen,discharge,Vannforing,m3/s
2015-04-28T11:00:00Z,59.13344508,Malselvfossen,discharge,Vannforing,m3/s
2015-04-29T11:00:00Z,51.93969978,Malselvfossen,discharge,Vannforing,m3/s
2015-04-30T11:00:00Z,49.87848315,Malselvfossen,discharge,Vannforing,m3/s
2015-05-01T11:00:00Z,48.97668709,Malselvfossen,discharge,Vannforing,m3/s
