datetime,value,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,unit,correction,quality
2015-02-06 11:00:00+00:00,7.554752,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-07 11:00:00+00:00,7.319148,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-08 11:00:00+00:00,7.012519,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-09 11:00:00+00:00,6.705732,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-10 11:00:00+00:00,6.471017,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-11 11:00:00+00:00,6.396116,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-12 11:00:00+00:00,6.497649,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-13 11:00:00+00:00,6.719916,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-14 11:00:00+00:00,7.116364,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-15 11:00:00+00:00,7.236062,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-16 11:00:00+00:00,7.308615,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-17 11:00:00+00:00,7.531746,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-18 11:00:00+00:00,8.515156,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-19 11:00:00+00:00,11.94854,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-20 11:00:00+00:00,16.68108,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-21 11:00:00+00:00,16.44799,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-22 11:00:00+00:00,14.03881,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-23 11:00:00+00:00,14.5432,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-24 11:00:00+00:00,17.29949,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-25 11:00:00+00:00,21.26065,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-26 11:00:00+00:00,21.10871,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-27 11:00:00+00:00,29.33358,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-02-28 11:00:00+00:00,28.05277,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-01 11:00:00+00:00,38.98279,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-02 11:00:00+00:00,41.59062,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-03 11:00:00+00:00,29.98787,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-04 11:00:00+00:00,24.03973,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-05 11:00:00+00:00,20.90527,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-06 11:00:00+00:00,18.2407,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-07 11:00:00+00:00,16.02397,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-08 11:00:00+00:00,16.29845,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-09 11:00:00+00:00,19.51948,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-10 11:00:00+00:00,17.42489,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-11 11:00:00+00:00,15.80521,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-12 11:00:00+00:00,14.57375,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-13 11:00:00+00:00,13.05643,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-14 11:00:00+00:00,11.81469,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-15 11:00:00+00:00,10.83138,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-16 11:00:00+00:00,10.06982,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-17 11:00:00+00:00,9.532259,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-18 11:00:00+00:00,9.361719,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-19 11:00:00+00:00,9.707624,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-20 11:00:00+00:00,9.821874,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-21 11:00:00+00:00,10.16628,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
2015-03-22 11:00:00+00:00,10.34818,18.04.2000,Lundevann,1001,Vannforing,Discharge,Mean,m3/s,0,3
