Date,variable,concentration_linear,daily_flux_linear,concentration_logqc,daily_flux_logqc,concentration_sensor,daily_flux_sensor,concentration_qc,daily_flux_qc
1/1/17,SPM,0.79,2638.17,3.42,11405.07,1.99,277.46,1.30,4347.60
1/1/17,DOC,0.90,3005.52,1.01,3385.22,1.45,201.93,1.34,4479.45
1/2/17,SPM,0.79,2308.00,2.25,6567.54,3.22,392.25,1.23,3585.16
1/2/17,DOC,0.90,2629.37,1.10,3213.67,1.19,144.65,1.33,3894.11
1/3/17,SPM,0.79,1966.96,1.06,2633.81,3.22,334.29,1.15,2863.20
1/3/17,DOC,0.90,2240.84,0.99,2462.54,1.19,123.28,1.32,3296.93
1/4/17,SPM,0.79,2012.19,1.14,2899.32,3.22,341.97,1.16,2955.11
1/4/17,DOC,0.90,2292.36,1.13,2881.10,1.19,126.11,1.33,3375.69
1/5/17,SPM,0.79,2209.27,2.41,6742.70,3.22,375.47,1.20,3369.29
1/5/17,DOC,0.90,2516.89,1.63,4549.11,1.19,138.46,1.33,3720.45
1/6/17,SPM,0.79,2406.35,0.82,2502.33,3.22,408.96,1.25,3805.73
1/6/17,DOC,0.90,2741.41,1.75,5323.59,1.19,150.82,1.34,4067.72
1/7/17,SPM,0.79,2308.00,2.25,6567.54,3.22,392.25,1.23,3585.16
1/7/17,DOC,0.90,2629.37,1.10,3213.67,1.19,144.65,1.33,3894.11
1/8/17,SPM,0.79,2357.18,0.97,2899.13,3.22,400.60,1.24,3694.75
1/8/17,DOC,0.90,2685.39,0.94,2790.50,1.19,147.73,1.33,3980.84
1/9/17,SPM,0.79,2308.00,2.25,6567.54,3.22,392.25,1.23,3585.16
1/9/17,DOC,0.90,2629.37,1.10,3213.67,1.19,144.65,1.33,3894.11
1/10/17,SPM,0.79,2374.47,0.80,2390.21,3.22,403.54,1.24,3733.64
1/10/17,DOC,0.90,2705.10,1.01,3025.86,1.19,148.82,1.33,4011.38
1/11/17,SPM,0.79,2326.77,1.74,5130.55,3.22,395.44,1.23,3626.82
1/11/17,DOC,0.90,2650.75,1.04,3069.60,1.19,145.83,1.33,3927.19
1/12/17,SPM,0.79,2232.01,1.86,5264.52,3.22,379.33,1.21,3418.51
1/12/17,DOC,0.90,2542.79,1.35,3827.10,1.19,139.89,1.33,3760.38
1/13/17,SPM,0.79,2188.12,3.07,8506.74,3.22,371.87,1.20,3323.80
1/13/17,DOC,0.90,2492.80,1.93,5350.70,1.19,137.14,1.33,3683.34
1/14/17,SPM,0.79,1921.50,1.36,3306.41,3.22,326.56,1.14,2772.00
1/14/17,DOC,0.90,2189.05,1.00,2440.15,1.19,120.43,1.32,3217.89
1/15/17,SPM,0.79,1597.55,6.87,13892.64,3.22,271.51,1.07,2156.40
1/15/17,DOC,0.90,1820.00,1.10,2224.44,1.19,100.13,1.31,2658.60
1/16/17,SPM,0.79,1272.73,6.87,11067.93,3.22,216.30,0.99,1599.50
1/16/17,DOC,0.90,1449.95,1.10,1772.16,1.19,79.77,1.31,2104.63
1/17/17,SPM,0.79,1667.20,6.23,13151.84,3.22,283.34,1.08,2283.67
1/17/17,DOC,0.90,1899.34,1.09,2308.59,1.19,104.49,1.32,2778.26
1/18/17,SPM,0.79,1670.71,6.09,12885.43,3.22,283.94,1.08,2290.16
1/18/17,DOC,0.90,1903.34,1.09,2310.48,1.19,104.71,1.32,2784.31
1/19/17,SPM,0.79,1674.22,5.96,12624.87,3.22,284.54,1.08,2296.66
1/19/17,DOC,0.90,1907.34,1.09,2312.38,1.19,104.93,1.32,2790.35
1/20/17,SPM,0.79,1677.73,5.82,12370.21,3.22,285.13,1.08,2303.16
1/20/17,DOC,0.90,1911.34,1.09,2314.27,1.19,105.15,1.32,2796.40
1/21/17,SPM,0.79,1681.63,5.68,12093.78,3.22,285.80,1.09,2310.40
1/21/17,DOC,0.90,1915.79,1.09,2316.37,1.19,105.40,1.32,2803.11
1/22/17,SPM,0.79,1685.15,5.56,11850.80,3.22,286.39,1.09,2316.92
1/22/17,DOC,0.90,1919.79,1.09,2318.26,1.19,105.62,1.32,2809.16
1/23/17,SPM,0.79,1688.66,5.43,11613.28,3.22,286.99,1.09,2323.45
1/23/17,DOC,0.90,1923.79,1.09,2320.15,1.19,105.84,1.32,2815.21
1/24/17,SPM,0.79,1692.17,5.31,11380.91,3.22,287.59,1.09,2329.99
1/24/17,DOC,0.90,1927.79,1.08,2322.03,1.19,106.06,1.32,2821.26
1/25/17,SPM,0.79,1695.68,5.20,11153.75,3.22,288.18,1.09,2336.53
1/25/17,DOC,0.90,1931.79,1.08,2323.91,1.19,106.28,1.32,2827.30
1/26/17,SPM,0.79,2064.48,2.50,6528.11,3.22,350.86,1.17,3062.84
1/26/17,DOC,0.90,2351.94,1.83,4776.80,1.19,129.39,1.33,3466.92
1/27/17,SPM,0.79,2262.34,1.45,4146.60,3.22,384.49,1.22,3484.64
1/27/17,DOC,0.90,2577.35,1.10,3150.10,1.19,141.79,1.33,3813.72
1/28/17,SPM,0.79,2394.25,0.81,2459.34,3.22,406.91,1.25,3778.30
1/28/17,DOC,0.90,2727.63,1.42,4299.98,1.19,150.06,1.34,4046.33
1/29/17,SPM,0.79,2130.43,6.02,16225.75,3.22,362.07,1.19,3200.95
1/29/17,DOC,0.90,2427.08,3.11,8399.60,1.19,133.52,1.33,3582.24
1/30/17,SPM,0.79,1713.64,4.64,10067.88,3.22,291.23,1.09,2370.08
1/30/17,DOC,0.90,1952.24,1.08,2333.48,1.19,107.40,1.32,2858.24
1/31/17,SPM,0.79,1717.15,4.54,9869.34,3.22,291.83,1.09,2376.67
1/31/17,DOC,0.90,1956.24,1.07,2335.35,1.19,107.62,1.32,2864.29
2/1/17,SPM,0.79,1721.05,4.43,9653.80,3.22,292.49,1.09,2383.99
2/1/17,DOC,0.90,1960.69,1.07,2337.42,1.19,107.87,1.32,2871.02
2/2/17,SPM,0.79,1724.56,4.34,9464.31,3.22,293.09,1.10,2390.59
2/2/17,DOC,0.90,1964.69,1.07,2339.28,1.19,108.09,1.32,2877.07
2/3/17,SPM,0.79,1728.08,4.24,9278.84,3.22,293.69,1.10,2397.20
2/3/17,DOC,0.90,1968.69,1.07,2341.14,1.19,108.31,1.32,2883.13
2/4/17,SPM,0.79,1731.59,4.15,9097.44,3.22,294.29,1.10,2403.81
2/4/17,DOC,0.90,1972.69,1.07,2343.00,1.19,108.53,1.32,2889.19
2/5/17,SPM,0.79,1735.10,4.06,8919.87,3.22,294.88,1.10,2410.44
2/5/17,DOC,0.90,1976.70,1.07,2344.85,1.19,108.75,1.32,2895.25
2/6/17,SPM,0.79,1738.61,3.97,8746.13,3.22,295.48,1.10,2417.07
2/6/17,DOC,0.90,1980.70,1.07,2346.71,1.19,108.97,1.32,2901.31
2/7/17,SPM,0.79,1742.51,3.88,8557.50,3.22,296.14,1.10,2424.44
2/7/17,DOC,0.90,1985.14,1.06,2348.76,1.19,109.21,1.32,2908.04
2/8/17,SPM,0.79,1746.03,3.80,8391.52,3.22,296.74,1.10,2431.08
2/8/17,DOC,0.90,1989.15,1.06,2350.61,1.19,109.43,1.32,2914.10
2/9/17,SPM,0.79,1749.54,3.72,8229.13,3.22,297.34,1.10,2437.73
2/9/17,DOC,0.90,1993.15,1.06,2352.45,1.19,109.65,1.32,2920.16
2/10/17,SPM,0.79,1753.05,3.64,8070.15,3.22,297.93,1.10,2444.39
2/10/17,DOC,0.90,1997.15,1.06,2354.30,1.19,109.87,1.32,2926.22
2/11/17,SPM,0.79,1756.56,3.56,7914.60,3.22,298.53,1.10,2451.06
2/11/17,DOC,0.90,2001.15,1.06,2356.14,1.19,110.09,1.32,2932.28
2/12/17,SPM,0.79,1760.08,3.48,7762.30,3.22,299.13,1.10,2457.73
2/12/17,DOC,0.90,2005.15,1.06,2357.97,1.19,110.31,1.32,2938.35
2/13/17,SPM,0.79,2064.48,2.50,6528.11,3.22,350.86,1.17,3062.84
2/13/17,DOC,0.90,2351.94,1.83,4776.80,1.19,129.39,1.33,3466.92
2/14/17,SPM,0.79,2394.25,0.81,2459.34,3.22,406.91,1.25,3778.30
2/14/17,DOC,0.90,2727.63,1.42,4299.98,1.19,150.06,1.34,4046.33
2/15/17,SPM,0.79,2460.21,0.87,2700.16,3.22,418.11,1.26,3928.87
2/15/17,DOC,0.90,2802.77,1.44,4476.87,1.19,154.19,1.34,4163.06
2/16/17,SPM,0.79,2526.16,1.19,3810.25,3.22,429.32,1.28,4081.93
2/16/17,DOC,0.90,2877.90,1.08,3447.97,1.19,158.33,1.34,4280.07
2/17/17,SPM,0.79,2196.39,2.79,7765.99,3.22,373.28,1.20,3341.55
2/17/17,DOC,0.90,2502.21,1.81,5020.87,1.19,137.66,1.33,3697.84
2/18/17,SPM,0.79,1866.23,1.86,4391.69,3.22,317.17,1.13,2662.71
2/18/17,DOC,0.90,2126.08,1.02,2412.51,1.19,116.96,1.32,3121.99
2/19/17,SPM,0.79,1785.44,2.99,6753.81,3.22,303.44,1.11,2506.13
2/19/17,DOC,0.90,2034.05,1.05,2371.18,1.19,111.90,1.32,2982.17
2/20/17,SPM,0.79,1788.96,2.93,6625.93,3.22,304.04,1.11,2512.86
2/20/17,DOC,0.90,2038.05,1.05,2373.00,1.19,112.12,1.32,2988.24
2/21/17,SPM,0.79,1792.47,2.87,6500.75,3.22,304.63,1.11,2519.59
2/21/17,DOC,0.90,2042.05,1.05,2374.82,1.19,112.34,1.32,2994.31
2/22/17,SPM,0.79,1795.98,2.81,6378.14,3.22,305.23,1.11,2526.34
2/22/17,DOC,0.90,2046.05,1.05,2376.64,1.19,112.56,1.32,3000.38
2/23/17,SPM,0.79,1799.49,2.75,6258.07,3.22,305.83,1.11,2533.09
2/23/17,DOC,0.90,2050.06,1.04,2378.45,1.19,112.78,1.32,3006.45
2/24/17,SPM,0.79,1803.01,2.69,6140.52,3.22,306.42,1.11,2539.85
2/24/17,DOC,0.90,2054.06,1.04,2380.26,1.19,113.00,1.32,3012.53
2/25/17,SPM,0.79,1806.91,2.63,6012.73,3.22,307.09,1.11,2547.37
2/25/17,DOC,0.90,2058.50,1.04,2382.27,1.19,113.25,1.32,3019.28
