datetime,FDOM,DOC,Season
2017-03-08 07:00:00,64.58206373,5.8,spring
2017-04-04 07:00:00,68.45532188,5.6,spring
2017-05-02 18:00:00,62.50481659,5.5,spring
2017-07-03 09:00:00,57.77795373,5.5,summer
2017-08-07 06:00:00,56.13393787,5.6,summer
2017-09-04 10:00:00,65.56955651,6.4,autumn
2017-10-03 07:00:00,78.78801386,8.8,autumn
2017-11-06 10:00:00,65.28832217,6.7,autumn
2017-12-05 08:00:00,68.8562404,6.5,winter
2018-01-02 11:00:00,63.56131503,6.5,winter
2018-02-07 15:00:00,62.99364597,5.6,winter
2018-03-05 12:00:00,55.16663548,5.3,spring
2018-04-03 11:00:00,58.06489957,5.3,spring
2018-05-02 12:00:00,61.79984639,4.8,spring
2018-08-06 11:00:00,40.77828618,4.1,summer
2018-09-03 09:00:00,26.96723705,4.1,autumn
2018-11-05 09:00:00,57.68037162,5.0,autumn
2018-12-03 10:00:00,55.41951554,6.2,winter
2019-01-07 11:00:00,68.2023018,5.8,winter
2019-02-05 12:00:00,64.50967726,5.8,winter
2019-05-08 19:00:00,67.72794205,4.5,spring
2019-05-27 13:00:00,64.18953603,5.4,spring
2019-07-01 13:00:00,58.47370793,5.2,summer
2019-08-05 10:00:00,48.1847464,4.8,summer
2019-09-02 08:00:00,70.19170562,6.3,autumn
2019-10-07 10:00:00,75.87728841,7.6,autumn
2019-11-04 12:00:00,70.73354131,6.5,autumn
2019-12-02 12:00:00,69.05899748,6.9,winter
2020-01-06 15:00:00,67.86316206,6.0,winter
2020-02-03 11:00:00,65.06308602,5.8,winter
2020-03-02 11:00:00,63.3998155,5.4,spring
2020-04-13 19:00:00,62.15027017,4.6,spring
2020-06-02 09:00:00,47.47395416,5.1,summer
2020-07-06 11:00:00,50.58352531,5.2,summer
2020-09-07 13:00:00,47.29534049,4.3,autumn
2020-11-02 10:00:00,77.20834756,6.7,autumn
2020-12-07 12:00:00,73.42290916,6.2,winter
2021-01-25 14:00:00,58.26337554,5.6,winter
2021-02-08 11:00:00,60.63116986,5.3,winter
2021-03-01 11:00:00,64.01755068,4.9,spring
2021-04-06 13:00:00,66.59680018,4.4,spring
2021-05-03 11:00:00,57.62245488,4.2,spring
2021-06-07 09:00:00,60.85547985,4.9,summer
2021-07-05 13:00:00,48.23499823,4.5,summer
2021-08-02 12:00:00,60.17187266,5.2,summer
2021-09-06 13:00:00,63.43207345,4.3,autumn
2021-10-04 11:00:00,75.35745825,7.6,autumn
2021-11-01 08:00:00,67.63307978,6.1,autumn
2021-12-13 12:00:00,68.71394212,5.6,winter
