,ID,par,datetime,mean_altitude_m,full_name,unit,time_resolution,value_min,value_median,value_max,value_mean,value_std,value_count
0,1,rr,1/1/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,2.1,10.6,18.5,10.52499104,3.094304197,5582
1,1,rr,1/2/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0.1,1.5,7.1,1.930670011,1.637395006,5582
2,1,rr,1/3/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,1.3,0.125403081,0.224991924,5582
3,1,rr,1/4/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,4.6,0.617825152,1.068574784,5582
4,1,rr,1/5/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,9.6,0.861322107,1.551123622,5582
5,1,rr,1/6/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,0,0,0,5582
6,1,rr,1/7/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,1,5.1,1.288570405,1.111206843,5582
7,1,rr,1/8/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0.9,4.4,1.174023647,0.944727011,5582
8,1,rr,1/9/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0.4,4.1,6.9,4.140326048,0.832253059,5582
9,1,rr,1/10/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,1.9,6.1,11.4,5.865030455,2.067134915,5582
10,1,rr,1/11/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0.3,1,0.287746327,0.239856707,5582
11,1,rr,1/12/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,0.8,0.080884987,0.132789749,5582
12,1,rr,1/13/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0.1,3.8,0.581870297,0.777610138,5582
13,1,rr,1/14/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0.7,2.4,0.644303117,0.495059599,5582
14,1,rr,1/15/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,2.7,0.265084199,0.446669354,5582
15,1,rr,1/16/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0.1,2.1,0.465245432,0.507079007,5582
16,1,rr,1/17/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0.6,2.1,0.764152633,0.650749976,5582
17,1,rr,1/18/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,0,0,0,5582
18,1,rr,1/19/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,0.4,0.070333214,0.083451761,5582
19,1,rr,1/20/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,0,0,0,5582
20,1,rr,1/21/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,0,0,0,5582
21,1,rr,1/22/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,0,0,0,5582
22,1,rr,1/23/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,0,0,0,5582
23,1,rr,1/24/15 6:00,678.9593336,Dognnedbor v2.0,mm,1440,0,0,1.2,0.114546757,0.197420565,5582
