,site_id,par,datetime,mean_altitude_m,full_name,unit,time_resolution,value_min,value_median,value_max,value_mean,value_std,value_count
0,Barduelva,rr,1/1/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,7.2,12.5,18.5,12.64035458,2.395838709,2369
1,Barduelva,rr,1/2/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0.1,0.8,3,1.06563951,0.860076171,2369
2,Barduelva,rr,1/3/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0.1,1,0.0982271,0.148233623,2369
3,Barduelva,rr,1/4/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,3.7,0.38602786,0.690533089,2369
4,Barduelva,rr,1/5/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,6.8,0.334571549,0.928753931,2369
5,Barduelva,rr,1/6/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0,0,0,2369
6,Barduelva,rr,1/7/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0.2,2,5.1,2.075137189,1.106828769,2369
7,Barduelva,rr,1/8/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0.8,3.8,0.830181511,0.619145561,2369
8,Barduelva,rr,1/9/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,2,4.2,6.9,4.223343183,0.88537267,2369
9,Barduelva,rr,1/10/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,4.7,6.7,11.4,6.942676235,1.215343113,2369
10,Barduelva,rr,1/11/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0.3,1,0.287420853,0.258361146,2369
11,Barduelva,rr,1/12/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0.6,0.051287463,0.101672195,2369
12,Barduelva,rr,1/13/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,2.5,0.137104263,0.358410374,2369
13,Barduelva,rr,1/14/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0.5,2.4,0.568172225,0.53033016,2369
14,Barduelva,rr,1/15/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,2.1,0.203376952,0.390432985,2369
15,Barduelva,rr,1/16/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,1.5,0.193161672,0.348893775,2369
16,Barduelva,rr,1/17/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,1.4,2.1,1.000717602,0.802068899,2369
17,Barduelva,rr,1/18/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0,0,0,2369
18,Barduelva,rr,1/19/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0.2,0.020599409,0.04781876,2369
19,Barduelva,rr,1/20/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0,0,0,2369
20,Barduelva,rr,1/21/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0,0,0,2369
21,Barduelva,rr,1/22/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0,0,0,2369
22,Barduelva,rr,1/23/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0,0,0,2369
23,Barduelva,rr,1/24/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0.7,0.060363022,0.114763431,2369
24,Barduelva,rr,1/25/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,3.7,0.138961587,0.405595286,2369
25,Barduelva,rr,1/26/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,6,0.565386239,1.275301645,2369
26,Barduelva,rr,1/27/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,4.3,0.119712959,0.49686067,2369
27,Barduelva,rr,1/28/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,1,0.004812157,0.046340495,2369
28,Barduelva,rr,1/29/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,1.1,0.165259603,0.311404068,2369
29,Barduelva,rr,1/30/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,5.3,0.688982693,1.266726343,2369
30,Barduelva,rr,1/31/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,1.3,0.111397214,0.225124098,2369
31,Barduelva,rr,2/1/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,1.9,0.21663149,0.394517281,2369
32,Barduelva,rr,2/2/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,0,0,0,2369
33,Barduelva,rr,2/3/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,1.1,2,0.806838328,0.697942566,2369
34,Barduelva,rr,2/4/15 6:00,704.074293,Dognnedbor v2.0,mm,1440,0,0,4.3,0.428113128,0.818748753,2369
