,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,datetime,value,unit,correction,quality
0,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-01 11:00:00+00:00,5.250791,m³/s,0,3
1,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-02 11:00:00+00:00,5.574467,m³/s,0,3
2,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-03 11:00:00+00:00,5.959798,m³/s,0,3
3,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-04 11:00:00+00:00,5.508568,m³/s,0,3
4,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-05 11:00:00+00:00,5.239527,m³/s,0,3
5,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-06 11:00:00+00:00,5.283514,m³/s,0,3
6,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-07 11:00:00+00:00,7.265451,m³/s,0,3
7,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-08 11:00:00+00:00,8.727819,m³/s,0,3
8,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-09 11:00:00+00:00,9.475152,m³/s,0,3
9,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-10 11:00:00+00:00,10.36533,m³/s,0,3
10,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-11 11:00:00+00:00,12.09158,m³/s,0,3
11,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-12 11:00:00+00:00,11.54382,m³/s,0,3
12,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-13 11:00:00+00:00,11.11809,m³/s,0,3
13,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-14 11:00:00+00:00,10.56979,m³/s,0,3
14,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-15 11:00:00+00:00,18.12013,m³/s,0,3
15,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-16 11:00:00+00:00,35.56801,m³/s,0,3
16,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-17 11:00:00+00:00,32.07498,m³/s,0,3
17,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-18 11:00:00+00:00,23.66093,m³/s,0,3
18,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-19 11:00:00+00:00,17.78283,m³/s,0,3
19,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-20 11:00:00+00:00,14.95885,m³/s,0,3
20,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-21 11:00:00+00:00,14.00322,m³/s,0,3
21,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-22 11:00:00+00:00,12.69694,m³/s,0,3
22,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-23 11:00:00+00:00,11.24175,m³/s,0,3
23,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-24 11:00:00+00:00,10.78552,m³/s,0,3
24,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-25 11:00:00+00:00,10.51001,m³/s,0,3
25,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-26 11:00:00+00:00,9.80724,m³/s,0,3
26,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-27 11:00:00+00:00,9.3387,m³/s,0,3
27,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-28 11:00:00+00:00,9.270097,m³/s,0,3
28,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-29 11:00:00+00:00,12.64656,m³/s,0,3
29,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-30 11:00:00+00:00,13.49072,m³/s,0,3
30,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-01-31 11:00:00+00:00,12.63479,m³/s,0,3
31,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-02-01 11:00:00+00:00,11.34118,m³/s,0,3
32,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-02-02 11:00:00+00:00,9.958123,m³/s,0,3
33,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-02-03 11:00:00+00:00,8.204841,m³/s,0,3
34,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-02-04 11:00:00+00:00,7.968012,m³/s,0,3
35,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-02-05 11:00:00+00:00,7.636086,m³/s,0,3
36,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-02-06 11:00:00+00:00,7.554752,m³/s,0,3
37,18.4.0,Lundevann,1001,Vannforing,Discharge,Mean,2015-02-07 11:00:00+00:00,7.319148,m³/s,0,3
