,station_id,station_name,parameter,parameter_name,parameter_name_eng,method,datetime,value,unit,correction,quality
23,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-01-24 11:00:00+00:00,19.2487,m³/s,1,3
24,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-01-25 11:00:00+00:00,18.73856,m³/s,1,3
25,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-01-26 11:00:00+00:00,18.80699,m³/s,1,3
26,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-01-27 11:00:00+00:00,18.6048,m³/s,1,3
27,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-01-28 11:00:00+00:00,18.29684,m³/s,1,3
28,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-01-29 11:00:00+00:00,18.33106,m³/s,1,3
29,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-01-30 11:00:00+00:00,17.95778,m³/s,1,3
30,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-01-31 11:00:00+00:00,17.61872,m³/s,1,3
31,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-01 11:00:00+00:00,17.75559,m³/s,1,3
32,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-02 11:00:00+00:00,17.7867,m³/s,1,3
33,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-03 11:00:00+00:00,17.58451,m³/s,1,3
34,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-04 11:00:00+00:00,17.34498,m³/s,1,3
35,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-05 11:00:00+00:00,17.07436,m³/s,1,3
36,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-06 11:00:00+00:00,17.78981,m³/s,1,3
37,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-07 11:00:00+00:00,17.91735,m³/s,1,3
38,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-08 11:00:00+00:00,18.34039,m³/s,1,3
39,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-09 11:00:00+00:00,18.27507,m³/s,1,3
40,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-10 11:00:00+00:00,18.99052,m³/s,1,3
41,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-11 11:00:00+00:00,19.02163,m³/s,1,3
42,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-12 11:00:00+00:00,19.34824,m³/s,1,3
43,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-13 11:00:00+00:00,19.2487,m³/s,1,3
44,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-14 11:00:00+00:00,19.37935,m³/s,1,3
45,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-15 11:00:00+00:00,19.47578,m³/s,1,3
46,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-16 11:00:00+00:00,19.51,m³/s,1,3
47,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-17 11:00:00+00:00,19.41045,m³/s,1,3
48,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-18 11:00:00+00:00,19.54421,m³/s,1,3
49,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-19 11:00:00+00:00,19.33891,m³/s,1,3
50,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-20 11:00:00+00:00,19.13361,m³/s,1,3
51,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-21 11:00:00+00:00,18.98119,m³/s,1,3
52,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-22 11:00:00+00:00,18.77588,m³/s,1,3
53,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-23 11:00:00+00:00,18.57369,m³/s,1,3
54,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-24 11:00:00+00:00,18.37461,m³/s,1,3
55,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-25 11:00:00+00:00,18.17553,m³/s,1,3
56,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-26 11:00:00+00:00,17.97644,m³/s,1,3
57,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-27 11:00:00+00:00,17.78048,m³/s,1,3
58,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-02-28 11:00:00+00:00,17.58139,m³/s,1,3
59,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-01 11:00:00+00:00,17.38853,m³/s,1,3
60,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-02 11:00:00+00:00,17.19567,m³/s,1,3
61,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-03 11:00:00+00:00,17.00281,m³/s,1,3
62,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-04 11:00:00+00:00,16.80995,m³/s,1,3
63,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-05 11:00:00+00:00,16.6202,m³/s,1,3
64,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-06 11:00:00+00:00,16.43045,m³/s,1,3
65,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-07 11:00:00+00:00,16.24381,m³/s,1,3
66,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-08 11:00:00+00:00,16.05717,m³/s,1,3
67,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-09 11:00:00+00:00,15.87054,m³/s,1,3
68,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-10 11:00:00+00:00,15.70847,m³/s,0,3
69,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-11 11:00:00+00:00,16.61289,m³/s,0,3
70,196.35.0,Malselvfossen,1001,Vannforing,Discharge,Mean,2015-03-12 11:00:00+00:00,19.06627,m³/s,0,3
