Date	WetSnow	DrySnow	BareGround
20140920	nan	nan	nan
20140921	nan	nan	nan
20140922	nan	nan	nan
20140923	nan	nan	nan
20140924	nan	nan	nan
20140925	nan	nan	nan
20140926	nan	nan	nan
20140927	nan	nan	nan
20140928	0.0	0.0	100.0
20140929	0.0	0.0	100.0
20140930	0.0	0.0	100.0
20141001	0.0	0.0	100.0
20141002	0.0	0.0	100.0
20141003	0.0	0.0	100.0
20141004	0.4081	0.0	99.59
20141005	0.3803	0.2953	99.32
20141006	0.008491	0.1741	99.82
20141007	0.008486	0.174	99.82
20141008	0.008486	0.1082	99.88
20141009	0.008486	0.07426	99.92
20141010	0.002122	0.0488	99.95
20141011	0.002121	0.01909	99.98
20141012	0.0	0.0	100.0
20141013	0.0	0.0	100.0
20141014	0.0	0.0	100.0
20141015	0.0	0.0	100.0
20141016	0.0	0.0	100.0
20141017	1.431	2.474	96.09
20141018	1.416	2.169	96.42
20141019	0.7849	1.563	97.65
20141020	0.5603	1.183	98.26
20141021	0.5307	1.171	98.3
20141022	0.4341	0.8104	98.76
20141023	0.4375	0.8168	98.75
20141024	0.4373	0.8164	98.75
20141025	0.4373	0.8164	98.75
20141026	0.4383	0.8183	98.74
20141027	0.4406	0.8226	98.74
20141028	0.4304	0.6587	98.91
20141029	0.4223	0.6629	98.91
20141030	0.4147	0.6648	98.92
20141031	0.4557	5.056	94.49
20141101	0.4608	5.112	94.43
20141102	nan	nan	nan
20141103	nan	nan	nan
20141104	nan	nan	nan
20141105	nan	nan	nan
20141106	nan	nan	nan
20141107	65.92	3.379	30.7
20141108	65.92	3.379	30.7
20141109	65.94	3.38	30.68
20141110	nan	nan	nan
20141111	nan	nan	nan
20141112	nan	nan	nan
20141113	nan	nan	nan
20141114	nan	nan	nan
20141115	nan	nan	nan
20141116	nan	nan	nan
20141117	nan	nan	nan
20141118	nan	nan	nan
20141119	nan	nan	nan
20141120	nan	nan	nan
20141121	nan	nan	nan
20141122	nan	nan	nan
20141123	nan	nan	nan
20141124	nan	nan	nan
20141125	nan	nan	nan
20141126	nan	nan	nan
20141127	nan	nan	nan
20141128	nan	nan	nan
20141129	nan	nan	nan
20141130	nan	nan	nan
20141201	nan	nan	nan
20141202	nan	nan	nan
20141203	nan	nan	nan
20141204	nan	nan	nan
20141205	nan	nan	nan
20141206	nan	nan	nan
20141207	nan	nan	nan
20141208	nan	nan	nan
20141209	nan	nan	nan
20141210	nan	nan	nan
20141211	nan	nan	nan
20141212	nan	nan	nan
20141213	nan	nan	nan
20141214	nan	nan	nan
20141215	nan	nan	nan
20141216	nan	nan	nan
