sample_date,Ca,Cl,DOC,K,Konduktivitet,Mg,NH4-N,NO3-N,Na,N_Part,TRP,POC,SO4,Si,SiO2,TOC,TOTN,TP,TDP,PP,SPM,Temperatur,Turbiditet,UV-Abs. 254nm,UV-Abs. 285nm,UV-Abs. 365nm,UV-Abs. 410nm,pH
2020-03-02 12:00:00+00:00,11.0,,1.1,,7.62,,10.0,71.0,,9.69,2.0,0.06570000000000001,,1.18,,0.96,130.0,2.0,1.0,,2.33,0.0,0.3,0.030062,0.021562,0.004942,0.002226,7.42
2020-04-14 11:15:00+00:00,10.4,,1.1,,8.09,,7.0,90.0,,27.4,4.0,0.227,,1.19,,1.1,180.0,7.0,2.0,,6.87,0.0,0.39,0.0365,0.025232,0.006972,0.00324,7.38
2020-05-04 10:30:00+00:00,8.07,,4.9,,7.58,,5.0,130.0,,13.3,4.0,0.188,,1.66,,5.1,300.0,5.0,3.0,,1.48,0.5,1.3,0.193956,0.138802,0.04173,0.019024,7.09
2020-05-04 12:13:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04 12:16:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04 12:38:56+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04 12:51:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04 12:59:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20 00:00:00+00:00,,,3.8,,,,42.0,165.0,,,13.0,,,,2.77,2.7,260.0,17.0,15.0,7.2,,,,,,,,
2020-05-29 00:00:00+00:00,,,4.1,,,,17.0,121.0,,,7.0,,,,2.58,3.5,360.0,16.0,7.0,12.0,,,,,,,,
2020-06-02 12:20:00+00:00,8.25,,4.6,,6.47,,2.0,65.0,,142.0,18.0,1.11,,1.72,,5.1,170.0,22.0,3.0,,23.9,,6.0,0.116664,0.084176,0.02641,0.01283,7.43
2020-06-03 00:00:00+00:00,,,3.1,,,,11.0,71.0,,,6.0,,,,2.1,2.9,180.0,28.0,7.0,19.0,,,,,,,,
2020-06-10 00:00:00+00:00,,,3.0,,,,21.0,61.0,,,38.0,,,,1.94,8.3,240.0,60.0,41.0,18.0,,,,,,,,
2020-06-22 00:00:00+00:00,,,1.6,,,,11.0,37.0,,,1.0,,,,1.62,1.5,92.0,13.0,1.0,11.0,,,,,,,,
2020-07-06 10:15:00+00:00,9.3,,3.6,,6.93,,2.0,37.0,,17.5,2.0,0.205,,1.0,,3.3,84.0,2.0,1.0,,2.21,6.0,1.0,0.034646,0.024536,0.007558,0.003902,7.52
2020-07-08 00:00:00+00:00,,,1.4,,,,9.0,38.0,,,1.0,,,,1.83,1.8,77.0,9.0,3.0,5.5,,,,,,,,
2020-08-01 00:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03 08:30:00+00:00,8.45,,2.4,,6.36,,2.0,18.0,,17.2,2.0,0.222,,0.885,,2.3,63.0,3.0,1.0,,2.05,13.1,0.63,0.023324,0.0161598,0.004344,0.001978,7.56
2020-08-03 12:06:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03 12:06:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03 12:08:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03 12:42:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-03 12:55:55+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-07 09:40:00+00:00,9.58,,1.7,,7.6,,2.0,20.0,,21.2,1.0,0.187,,1.05,,1.7,71.0,2.0,1.0,,3.74,10.1,1.2,0.043852,0.031018,0.00876,0.003982,7.6
2020-10-05 11:20:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 11:45:00+00:00,10.8,,1.2,,8.03,,5.0,33.0,,8.98,2.0,0.09620000000000001,,1.12,,1.3,68.0,3.0,1.0,,0.95,5.7,0.65,0.032156,0.022314,0.006064,0.002836,7.67
2020-10-05 12:04:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 12:20:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 12:23:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 12:25:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-05 12:43:39+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-02 09:10:00+00:00,11.2,,1.0,,9.05,,5.0,93.0,,37.2,2.0,0.14,,1.33,,1.1,190.0,3.0,2.0,,1.06,0.2,0.56,0.03604,0.02508,0.007108,0.003384,7.51
2020-12-07 10:45:00+00:00,9.63,,1.2,,7.54,,11.0,63.0,,51.5,2.0,0.348,,1.27,,1.1,150.0,3.0,1.0,,2.1,0.1,0.62,0.034196,0.024344,0.005972,0.002704,7.55
2021-01-29 12:00:00+00:00,11.6,1.61,0.87,0.82,8.53,1.96,14.0,72.0,1.44,3.04,1.0,0.027800000000000002,7.05,1.5,3.22,0.84,130.0,1.0,,0.6,0.32,0.0,0.3,0.02582,0.017906,0.004764,0.00214,7.44
2021-02-15 10:00:00+00:00,8.79,2.5,1.1,0.91,7.12,1.86,35.0,86.0,1.85,78.4,1.0,0.484,6.74,1.3,2.66,1.1,200.0,5.0,,4.8,1.32,0.0,0.75,0.037254,0.031178,0.005448,0.002462,7.28
2021-03-01 11:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,0.020294,0.01796,0.002532,0.001284,
2021-04-06 09:15:00+00:00,8.9,8.83,3.2,2.04,9.18,1.68,67.0,100.0,4.21,195.5,16.0,1.672,6.99,1.08,2.36,6.0,770.0,33.0,,,6.25,0.0,3.3,0.08534,0.064728,0.016274,0.007736,7.19
