sample_date,Cl,DOC,K,Konduktivitet,Mg,NH4-N,NO3-N,Na,N_Part,TRP,POC,SO4,Si,SiO2,TOC,TOTN,TP,TDP,PP,SPM,UV-Abs. 254nm,UV-Abs. 285nm,UV-Abs. 365nm,UV-Abs. 410nm,pH
2022-07-09,1.039642857142857,0.7385714285714287,0.6342857142857142,5.485357142857143,1.185,2.0,14.892857142857142,1.0007142857142857,18.039285714285715,5.107142857142857,0.12464285714285715,3.4689285714285716,1.0464285714285715,1.9707142857142856,0.7550000000000001,42.035714285714285,7.107142857142857,1.0,7.107142857142857,6.626785714285714,0.028988785714285713,0.020726142857142856,0.006353357142857143,0.0031797142857142857,7.416428571428572
2022-07-10,1.0535714285714286,0.7542857142857143,0.6371428571428571,5.546428571428571,1.2000000000000002,2.0,15.071428571428571,1.012857142857143,17.807142857142857,4.928571428571429,0.12357142857142858,3.520714285714286,1.0457142857142858,1.9828571428571429,0.77,42.642857142857146,6.928571428571429,1.0,6.928571428571429,6.392142857142857,0.029298142857142856,0.020930571428571427,0.006384428571428571,0.0031768571428571427,7.425714285714286
2022-07-11,1.0675,0.77,0.64,5.6075,1.215,2.0,15.25,1.025,17.575,4.75,0.1225,3.5725,1.045,1.9949999999999999,0.785,43.25,6.75,1.0,6.75,6.1575,0.029607500000000002,0.021135,0.0064155,0.0031739999999999997,7.4350000000000005
2022-07-12,1.0814285714285714,0.7857142857142858,0.6428571428571428,5.668571428571428,1.23,2.0,15.428571428571429,1.0371428571428571,17.34285714285714,4.571428571428571,0.12142857142857144,3.624285714285714,1.0442857142857143,2.007142857142857,0.8,43.857142857142854,6.571428571428571,1.0,6.571428571428571,5.922857142857143,0.029916857142857144,0.02133942857142857,0.006446571428571429,0.003171142857142857,7.444285714285714
2022-07-13,1.095357142857143,0.8014285714285715,0.6457142857142857,5.729642857142856,1.245,2.0,15.607142857142858,1.0492857142857144,17.110714285714284,4.392857142857142,0.12035714285714286,3.6760714285714284,1.0435714285714286,2.019285714285714,0.8150000000000001,44.464285714285715,6.392857142857142,1.0,6.392857142857142,5.6882142857142854,0.030226214285714287,0.021543857142857142,0.006477642857142857,0.003168285714285714,7.453571428571428
2022-07-14,1.1092857142857142,0.8171428571428572,0.6485714285714286,5.7907142857142855,1.26,2.0,15.785714285714286,1.0614285714285714,16.878571428571426,4.214285714285714,0.11928571428571429,3.7278571428571428,1.042857142857143,2.0314285714285716,0.8300000000000001,45.07142857142857,6.214285714285714,1.0,6.214285714285714,5.453571428571428,0.03053557142857143,0.021748285714285713,0.006508714285714286,0.003165428571428571,7.462857142857143
2022-07-15,1.1232142857142857,0.832857142857143,0.6514285714285714,5.851785714285714,1.2750000000000001,2.0,15.964285714285715,1.0735714285714286,16.646428571428572,4.035714285714286,0.11821428571428572,3.779642857142857,1.0421428571428573,2.0435714285714286,0.8450000000000001,45.67857142857143,6.035714285714286,1.0,6.035714285714286,5.218928571428571,0.030844928571428572,0.021952714285714284,0.006539785714285714,0.0031625714285714287,7.472142857142857
2022-07-16,1.1371428571428572,0.8485714285714286,0.6542857142857142,5.912857142857143,1.29,2.0,16.142857142857142,1.0857142857142856,16.414285714285715,3.857142857142857,0.11714285714285715,3.8314285714285714,1.0414285714285714,2.0557142857142856,0.8600000000000001,46.285714285714285,5.857142857142858,1.0,5.857142857142858,4.984285714285714,0.031154285714285714,0.022157142857142854,0.006570857142857143,0.0031597142857142857,7.481428571428571
2022-07-17,1.1510714285714285,0.8642857142857143,0.6571428571428571,5.973928571428571,1.3050000000000002,2.0,16.321428571428573,1.0978571428571429,16.182142857142857,3.6785714285714284,0.11607142857142858,3.8832142857142857,1.0407142857142857,2.0678571428571426,0.875,46.892857142857146,5.678571428571429,1.0,5.678571428571429,4.749642857142857,0.03146364285714286,0.02236157142857143,0.006601928571428571,0.0031568571428571427,7.490714285714286
2022-07-18,1.165,0.8800000000000001,0.6599999999999999,6.035,1.32,2.0,16.5,1.1099999999999999,15.95,3.5,0.115,3.935,1.04,2.08,0.8900000000000001,47.5,5.5,1.0,5.5,4.515,0.031772999999999996,0.022566,0.006633,0.0031539999999999997,7.5
2022-07-19,1.1789285714285715,0.8957142857142858,0.6628571428571428,6.096071428571428,1.335,2.0,16.67857142857143,1.122142857142857,15.717857142857142,3.321428571428571,0.11392857142857143,3.9867857142857144,1.0392857142857144,2.092142857142857,0.905,48.10714285714286,5.321428571428571,1.0,5.321428571428571,4.2803571428571425,0.03208235714285714,0.02277042857142857,0.006664071428571429,0.003151142857142857,7.509285714285714
