Date	WetSnow	DrySnow	BareGround
20140920	0.05399	0.3057	2.289
20140921	0.03704	0.2294	57.61
20140922	0.0348	0.2294	71.85
20140923	0.02767	0.1789	78.78
20140924	0.02767	0.1789	79.39
20140925	0.02767	0.1789	79.39
20140926	0.02767	0.1789	79.39
20140927	0.02767	0.1789	79.44
20140928	0.02767	0.1789	83.73
20140929	0.02767	0.1789	83.79
20140930	0.02677	0.1785	85.87
20141001	0.0232	0.1776	85.96
20141002	0.0232	0.1776	85.72
20141003	0.01472	0.1517	88.39
20141004	17.95	0.1397	77.23
20141005	20.87	2.017	74.59
20141006	10.95	1.081	86.87
20141007	10.1	1.08	87.78
20141008	9.034	0.8393	89.37
20141009	8.603	0.8027	89.89
20141010	6.91	0.6287	91.9
20141011	6.52	0.568	92.43
20141012	6.002	0.5056	93.03
20141013	5.999	0.5056	93.0
20141014	5.999	0.5056	92.85
20141015	5.836	0.4824	93.07
20141016	5.611	0.481	93.06
20141017	16.93	6.612	74.09
20141018	16.85	6.38	74.29
20141019	16.23	6.121	75.03
20141020	15.64	5.912	75.81
20141021	15.45	5.87	74.45
20141022	14.29	5.346	75.76
20141023	14.09	5.345	71.31
20141024	14.02	5.334	71.49
20141025	14.02	5.334	71.4
20141026	13.88	5.331	70.64
20141027	13.87	5.309	69.9
20141028	13.01	4.865	69.78
20141029	12.27	4.5	66.49
20141030	12.09	4.473	66.28
20141031	12.06	16.62	61.81
20141101	11.93	16.6	61.41
20141102	10.99	16.29	57.09
20141103	13.43	20.56	51.51
20141104	13.31	20.45	51.63
20141105	13.28	20.22	52.04
20141106	13.28	20.22	52.04
20141107	37.33	14.22	36.47
20141108	37.32	14.22	36.42
20141109	38.18	14.08	35.14
20141110	42.8	12.48	31.25
20141111	42.5	11.58	29.27
20141112	42.48	11.39	29.04
20141113	42.25	11.33	28.54
20141114	46.65	9.621	25.63
20141115	46.25	9.217	24.76
20141116	41.81	0.5707	0.1937
20141117	41.8	0.2954	0.0
20141118	30.63	0.2954	0.0
20141119	34.42	0.2352	0.0
20141120	34.03	0.2352	0.0
20141121	30.19	0.2432	0.0
20141122	33.65	0.274	0.0
20141123	33.65	0.274	0.0
20141124	33.65	0.274	0.0
20141125	16.17	0.274	0.0
20141126	20.02	0.2329	0.0
20141127	20.02	0.2329	0.0
20141128	20.02	0.2329	0.0
20141129	22.32	0.2468	0.0
20141130	19.94	0.2468	0.0
20141201	26.67	0.3199	0.0
20141202	25.47	0.3199	0.0
20141203	23.5	0.3199	0.0
20141204	23.96	0.3186	0.0
20141205	23.96	0.3186	0.0
20141206	23.96	0.3186	0.0
20141207	17.56	0.3186	0.0
20141208	19.13	0.3164	0.0
20141209	19.13	0.3164	0.0
20141210	11.48	0.3164	0.0
20141211	11.48	0.3164	0.0
20141212	4.905	0.3164	0.0
20141213	4.905	0.3164	0.0
20141214	4.696	0.3164	0.0
20141215	6.811	0.3164	0.0
20141216	12.45	0.3181	0.0
20141217	12.45	0.3181	0.0
20141218	12.45	0.3181	0.0
20141219	10.64	0.3181	0.0
20141220	13.22	0.3199	0.0
20141221	13.22	0.3199	0.0
20141222	13.22	0.3199	0.0
20141223	13.22	0.3199	0.0
20141224	13.22	0.3199	0.0
20141225	13.22	0.3199	0.0
20141226	12.83	0.3199	0.0
20141227	9.341	0.3199	0.0
20141228	11.81	0.3199	0.0
20141229	11.81	0.3199	0.0
20141230	20.05	0.2236	0.0
20141231	16.89	0.2236	0.0
20150101	42.3	0.2169	0.0
20150102	42.3	0.2169	0.0
20150103	42.3	0.2169	0.0
20150104	52.97	0.2601	0.0
20150105	52.97	0.2601	0.0
20150106	52.97	0.2601	0.0
20150107	52.53	0.2601	0.0
20150108	51.98	0.2726	0.0
20150109	51.99	0.3155	0.0
20150110	50.62	0.3155	0.0
20150111	50.62	0.3155	0.0
20150112	29.38	0.3155	0.0
20150113	29.56	0.3155	0.0
20150114	29.56	0.3155	0.0
20150115	2.83	0.3155	0.0
20150116	4.982	0.3199	0.0
