Date	WetSnow	DrySnow	BareGround
20140920	0.4293	0.5227	1.127
20140921	0.3965	0.3775	53.0
20140922	0.3938	0.3595	65.8
20140923	0.3784	0.3242	70.46
20140924	0.3704	0.3242	71.06
20140925	0.3704	0.3242	71.09
20140926	0.3704	0.3242	71.09
20140927	0.3704	0.3187	71.68
20140928	0.3491	0.3029	78.52
20140929	0.3439	0.3029	78.61
20140930	0.3399	0.2836	81.18
20141001	0.2509	0.2566	81.49
20141002	0.2481	0.25	82.99
20141003	0.2124	0.2316	86.95
20141004	18.25	0.07062	76.64
20141005	20.32	1.253	74.94
20141006	9.298	0.6389	89.07
20141007	8.379	0.6299	90.14
20141008	7.613	0.4855	91.22
20141009	7.118	0.441	91.84
20141010	5.665	0.3518	93.54
20141011	5.289	0.3084	94.01
20141012	4.818	0.2774	94.56
20141013	4.809	0.2774	94.56
20141014	4.809	0.2774	94.47
20141015	4.716	0.2676	94.59
20141016	4.497	0.2667	94.59
20141017	14.3	6.829	77.07
20141018	14.15	6.707	77.0
20141019	13.58	6.488	77.65
20141020	13.19	6.35	78.15
20141021	13.0	6.284	76.8
20141022	12.02	5.846	77.78
20141023	11.88	5.845	72.78
20141024	11.39	5.682	73.32
20141025	11.39	5.682	73.13
20141026	11.32	5.681	71.84
20141027	11.31	5.672	71.14
20141028	10.7	4.783	71.01
20141029	10.2	4.483	68.56
20141030	9.935	4.393	67.56
20141031	9.69	18.23	60.75
20141101	9.614	18.22	60.45
20141102	8.648	17.95	55.95
20141103	10.68	22.03	51.15
20141104	10.21	21.85	49.4
20141105	10.2	21.7	49.97
20141106	10.2	21.7	49.97
20141107	36.47	17.06	32.54
20141108	36.47	17.05	32.5
20141109	37.13	16.92	31.5
20141110	41.08	15.76	27.56
20141111	40.77	13.26	25.92
20141112	40.77	13.14	25.81
20141113	40.52	12.99	25.07
20141114	43.18	11.91	23.34
20141115	42.85	11.44	22.19
20141116	39.8	0.4878	0.08151
20141117	39.8	0.3719	0.0
20141118	24.37	0.3719	0.0
20141119	31.21	0.3086	0.0
20141120	30.88	0.3086	0.0
20141121	27.4	0.355	0.0
20141122	30.21	0.3403	0.0
20141123	30.21	0.3403	0.0
20141124	30.21	0.3403	0.0
20141125	16.77	0.3403	0.0
20141126	19.23	0.3469	0.0
20141127	19.23	0.3469	0.0
20141128	19.23	0.3469	0.0
20141129	20.59	0.3439	0.0
20141130	16.27	0.3439	0.0
20141201	25.34	0.3972	0.0
20141202	24.0	0.3972	0.0
20141203	21.11	0.4023	0.0
20141204	21.64	0.3839	0.0
20141205	21.64	0.3839	0.0
20141206	21.64	0.3839	0.0
20141207	17.0	0.3839	0.0
20141208	18.49	0.397	0.0
20141209	18.49	0.397	0.0
20141210	13.56	0.397	0.0
20141211	13.56	0.397	0.0
20141212	5.186	0.397	0.0
20141213	5.186	0.397	0.0
20141214	4.904	0.397	0.0
20141215	7.243	0.4025	0.0
20141216	12.11	0.3993	0.0
20141217	12.11	0.3993	0.0
20141218	12.11	0.3993	0.0
20141219	10.45	0.3993	0.0
20141220	14.18	0.404	0.0
20141221	14.18	0.404	0.0
20141222	14.18	0.404	0.0
20141223	14.18	0.404	0.0
20141224	14.18	0.404	0.0
20141225	14.18	0.404	0.0
20141226	13.81	0.404	0.0
20141227	10.49	0.4046	0.0
20141228	12.89	0.4036	0.0
20141229	12.89	0.4036	0.0
20141230	16.44	0.363	0.0
20141231	12.71	0.363	0.0
20150101	33.64	0.3533	0.0
20150102	33.64	0.3533	0.0
20150103	33.64	0.3533	0.0
20150104	42.06	0.3762	0.0
20150105	42.06	0.3762	0.0
20150106	42.06	0.3762	0.0
20150107	41.11	0.3762	0.0
20150108	38.06	0.3846	0.0
20150109	38.15	0.4008	0.0
20150110	37.57	0.4008	0.0
20150111	37.57	0.4008	0.0
20150112	19.13	0.4008	0.0
20150113	20.36	0.4027	0.0
20150114	20.36	0.4027	0.0
20150115	2.779	0.4027	0.0
20150116	4.48	0.4032	0.0
20150117	4.48	0.4032	0.0
20150118	4.48	0.4032	0.0
20150119	4.438	0.4032	0.0
20150120	4.218	0.4032	0.0
20150121	6.628	0.4038	0.0
20150122	6.628	0.4038	0.0
20150123	6.628	0.4038	0.0
20150124	5.816	0.4038	0.0
20150125	5.816	0.4038	0.0
20150126	5.816	0.4038	0.0
20150127	5.314	0.4038	0.0
20150128	5.314	0.4038	0.0
20150129	5.314	0.4038	0.0
20150130	10.73	0.4046	0.0
20150131	10.73	0.4046	0.0
20150201	10.28	0.4046	0.0
20150202	10.28	0.4046	0.0
20150203	10.28	0.4046	0.0
20150204	10.28	0.4046	0.02611
20150205	10.19	0.4046	0.5918
20150206	10.16	9.671	0.6018
20150207	10.13	9.671	0.8029
20150208	10.13	9.671	0.8029
20150209	10.13	9.671	0.8029
20150210	3.666	9.64	0.8029
20150211	3.573	9.33	4.3
20150212	3.573	9.33	4.319
20150213	5.384	35.35	3.37
20150214	8.558	53.54	2.689
20150215	8.558	53.54	2.689
20150216	7.867	51.97	5.764
20150217	7.854	51.91	5.764
20150218	7.813	51.73	5.995
20150219	7.813	51.71	5.995
20150220	7.798	51.69	6.043
20150221	7.746	51.65	6.177
20150222	7.712	51.35	5.763
20150223	7.383	50.38	7.574
20150224	7.348	47.81	7.655
20150225	7.147	45.33	7.66
20150226	6.857	53.01	6.294
20150227	6.719	51.26	6.034
20150228	6.719	51.26	6.034
20150301	6.678	49.06	5.899
20150302	4.624	64.1	4.597
20150303	4.599	63.67	4.498
20150304	4.466	62.21	5.935
20150305	0.9509	94.35	1.201
20150306	0.9475	93.93	1.244
20150307	0.9475	93.88	1.244
20150308	0.9323	93.33	1.651
20150309	0.9318	93.08	1.674
20150310	2.215	92.23	1.475
20150311	2.215	92.06	1.56
20150312	1.969	92.18	1.682
20150313	1.956	91.51	1.649
20150314	6.473	89.1	1.491
20150315	6.373	88.04	2.562
20150316	6.227	85.38	3.758
20150317	6.219	85.3	3.848
20150318	6.219	85.3	3.848
20150319	14.29	78.91	2.671
20150320	14.12	78.59	3.133
20150321	14.93	78.31	2.681
20150322	15.64	77.64	2.648
20150323	15.64	77.63	2.653
20150324	13.59	79.9	2.57
20150325	13.59	79.9	2.57
20150326	9.554	86.67	1.031
20150327	9.166	78.58	0.8919
20150328	9.135	78.33	0.9646
20150329	9.115	78.03	0.9646
20150330	8.877	77.26	0.9603
20150331	8.494	73.19	0.9041
20150401	8.377	72.44	0.9605
20150402	7.659	74.11	0.8671
20150403	7.587	73.59	0.8348
20150404	7.104	71.97	0.8084
20150405	6.916	70.58	0.8033
20150406	4.284	43.18	0.6284
20150407	13.36	41.21	0.6442
20150408	12.15	33.75	0.5529
20150409	12.15	33.75	0.5529
20150410	20.7	40.64	0.4692
20150411	20.7	40.61	0.5028
20150412	16.29	49.32	0.172
20150413	16.24	41.87	0.172
20150414	16.02	42.66	0.1664
20150415	7.085	71.76	0.00864
20150416	7.085	71.76	0.00864
20150417	7.085	71.49	0.00864
20150418	5.222	71.03	0.00864
20150419	5.212	70.86	0.08226
20150420	5.212	70.85	0.101
20150421	4.818	70.47	0.1059
20150422	30.78	52.84	0.1091
20150423	30.65	49.41	0.2969
20150424	23.36	74.4	0.4036
20150425	23.3	74.28	0.5843
20150426	10.46	88.11	0.3612
20150427	10.89	88.08	0.3007
20150428	10.89	88.08	0.3007
20150429	10.86	87.72	0.6812
20150430	10.86	87.51	0.8861
20150501	12.34	85.92	1.003
20150502	12.32	85.67	1.274
20150503	12.32	85.67	1.274
20150504	14.32	84.24	1.193
20150505	14.31	84.24	1.193
20150506	51.28	47.4	1.152
20150507	51.27	47.25	1.234
20150508	68.06	30.56	1.248
20150509	71.77	26.87	1.234
20150510	71.61	24.6	3.726
20150511	71.43	22.04	4.976
20150512	71.4	21.65	4.928
20150513	65.55	25.66	4.882
20150514	65.55	25.61	4.882
20150515	64.88	24.33	5.124
20150516	55.77	35.32	8.466
20150517	55.71	35.08	8.799
20150518	50.42	39.41	9.993
20150519	50.41	39.39	9.993
20150520	51.7	38.07	10.07
20150521	56.63	33.11	9.974
20150522	56.57	32.95	10.07
20150523	56.52	32.68	10.4
20150524	56.46	32.59	10.48
20150525	56.44	32.45	10.64
20150526	55.8	29.92	14.03
20150527	55.65	29.04	14.34
20150528	55.65	28.98	14.32
20150529	55.28	25.75	14.86
20150530	55.22	25.38	15.38
20150531	54.74	23.66	15.29
20150601	47.5	28.93	18.93
20150602	49.72	27.49	18.75
20150603	48.81	26.04	21.65
20150604	48.54	25.08	23.04
20150605	48.2	24.35	23.62
20150606	38.16	25.03	25.75
20150607	37.98	24.58	25.38
20150608	37.66	23.89	28.46
20150609	41.53	20.31	27.66
20150610	41.26	20.13	27.62
20150611	41.09	20.55	29.63
20150612	40.6	17.4	28.92
20150613	40.52	17.5	30.18
20150614	40.21	15.06	29.08
20150615	39.51	14.57	31.24
20150616	39.39	14.51	31.66
20150617	38.94	11.43	31.46
20150618	37.23	11.89	35.59
20150619	36.64	10.29	36.08
20150620	35.63	9.371	42.03
20150621	35.5	9.265	42.45
20150622	34.51	7.442	45.72
20150623	34.36	6.888	45.25
20150624	33.52	6.378	44.58
20150625	30.85	6.3	43.12
20150626	30.76	5.962	43.72
20150627	29.74	5.577	46.48
20150628	29.07	5.37	47.6
20150629	27.23	4.075	50.93
20150630	23.19	10.43	57.17
20150701	19.74	9.38	63.78
20150702	19.69	9.339	63.77
20150703	22.99	8.07	60.61
20150704	22.74	8.047	60.95
20150705	22.69	8.034	60.99
20150706	22.52	7.99	60.99
20150707	22.61	7.67	60.3
20150708	23.03	7.426	60.02
20150709	21.81	7.186	62.52
20150710	19.38	6.821	66.91
20150711	18.49	5.19	67.15
